"Sample_ID","Spike_Index","Time_s"
"S0001",1,0
"S0001",2,0.198091410508056
"S0001",3,0.33675493621353
"S0001",4,0.501269426514252
"S0001",5,0.687772940540812
"S0001",6,0.815182064224872
"S0001",7,0.971842595007581
"S0001",8,1.14612355457715
"S0001",9,1.35631436060065
"S0001",10,1.5283291197366
"S0001",11,1.7403186763559
"S0001",12,1.89749262481755
"S0001",13,2.07781292092988
"S0001",14,2.25499784044784
"S0001",15,3.55909205332261
"S0001",16,3.70652587120572
"S0001",17,3.79305102846654
"S0001",18,3.88830217839935
"S0001",19,3.99776861646339
"S0001",20,4.08511743222651
"S0001",21,4.19797657449384
"S0001",22,4.24552287387504
"S0001",23,4.34679268299881
"S0001",24,4.39284868568731
"S0001",25,4.42522912332079
"S0001",26,4.5269121680759
"S0001",27,4.60837042296282
"S0001",28,4.71630137648771
"S0001",29,4.80151416688741
"S0001",30,4.93265376469612
"S0001",31,4.96047438823436
"S0001",32,5.03810199282112
"S0001",33,5.08768645576568
"S0001",34,5.16985644686655
"S0001",35,5.28440951022965
"S0001",36,5.32875530449613
"S0001",37,5.4066458584955
"S0001",38,5.48423574461743
"S0001",39,5.53544908404358
"S0001",40,5.62051340668132
"S0001",41,5.65248274241807
"S0001",42,5.72391848476081
"S0001",43,5.79029599958548
"S0001",44,5.82981452657456
"S0001",45,5.90305158920981
"S0001",46,6.00767191154504
"S0001",47,6.08301881459857
"S0001",48,6.13099151340802
"S0001",49,6.16666544693932
"S0001",50,6.20935648852882
"S0001",51,6.24853883285147
"S0001",52,6.31258003615884
"S0001",53,6.36475953639852
"S0001",54,6.40774071906729
"S0001",55,6.80053083725193
"S0001",56,6.85859345814083
"S0001",57,6.8812312988173
"S0001",58,6.92201289215011
"S0001",59,6.97161116507473
"S0001",60,6.99415471705532
"S0001",61,7.01924923787945
"S0001",62,7.04866651950238
"S0001",63,7.11628282011118
"S0001",64,7.31069707496655
"S0001",65,7.35245118369048
"S0001",66,7.40309996123698
"S0001",67,7.42697445188547
"S0001",68,7.46955150231565
"S0001",69,7.84770407663015
"S0001",70,8.15402341999607
"S0001",71,8.58187248181593
"S0001",72,8.8866952757209
"S0001",73,9.27841575333871
"S0001",74,9.66877039537479
"S0001",75,10.1024000880906
"S0001",76,10.4385095153116
"S0001",77,10.7275570656229
"S0001",78,11.1917006217816
"S0001",79,11.4923357393766
"S0001",80,11.7515470612601
"S0001",81,12.1404986263873
"S0001",82,12.5255313001033
"S0001",83,13.4675385972317
"S0001",84,14.7320515685733
"S0001",85,15.1799557327307
"S0001",86,15.323856934128
"S0001",87,15.418704144866
"S0001",88,15.5620022514603
"S0001",89,15.6087214894374
"S0001",90,15.7078179948707
"S0001",91,15.8470938455142
"S0001",92,15.9661562955419
"S0001",93,16.034595907776
"S0001",94,16.0906959880225
"S0001",95,16.1963205827361
"S0001",96,16.3839161113803
"S0001",97,16.4840902060073
"S0001",98,16.519903731586
"S0001",99,16.5379988228737
"S0001",100,16.5540011980728
"S0001",101,16.5721762131387
"S0001",102,16.6024203822721
"S0001",103,16.7027886597527
"S0001",104,16.7924231274804
"S0001",105,16.8370957084352
"S0001",106,16.8764344034636
"S0001",107,16.97948841901
"S0001",108,17.0234717963139
"S0001",109,17.1405358493937
"S0001",110,17.2048957311376
"S0001",111,17.2910505552144
"S0001",112,17.4353509756813
"S0001",113,17.5343135200238
"S0001",114,17.6301678497483
"S0001",115,17.7536203857907
"S0001",116,17.8561376726778
"S0001",117,17.8979381576508
"S0001",118,17.9199112045202
"S0001",119,18.0255620999627
"S0001",120,19.6237315028154
"S0001",121,19.708665267032
"S0001",122,19.7176397275536
"S0001",123,19.7645935700717
"S0001",124,19.8274889292996
"S0001",125,19.996232178051
"S0001",126,20.0619830175238
"S0001",127,20.1967580181277
"S0001",128,20.3764359372996
"S0001",129,20.4021200949383
"S0001",130,20.4190946412159
"S0001",131,20.4430884477416
"S0001",132,20.4931951993988
"S0001",133,20.6707899376939
"S0001",134,20.7149937524677
"S0001",135,20.8119386525211
"S0001",136,20.8597449655507
"S0001",137,20.8877691675425
"S0001",138,20.940233751727
"S0001",139,20.9681838751759
"S0001",140,20.9887953676174
"S0001",141,21.1308237138681
"S0001",142,21.1444004209697
"S0001",143,21.2960034972062
"S0001",144,21.4865267755993
"S0001",145,21.5200356525149
"S0001",146,21.6333120758227
"S0001",147,21.6516149565818
"S0001",148,21.6658693116533
"S0001",149,21.7708042635124
"S0001",150,21.8447629621323
"S0001",151,21.9142049205077
"S0002",1,0
"S0002",2,0.529624653360924
"S0002",3,1.05260135374933
"S0002",4,1.50618540051053
"S0002",5,1.96651962778302
"S0002",6,2.26739369507922
"S0002",7,2.7486315825261
"S0002",8,3.17035724147566
"S0002",9,3.6923543194654
"S0002",10,4.01759881171564
"S0002",11,4.55660757175619
"S0002",12,5.01246040897981
"S0002",13,5.41340499725521
"S0002",14,5.85173545483351
"S0002",15,6.23913543414632
"S0002",16,6.77001073130988
"S0002",17,7.1913304642795
"S0002",18,10.461351320103
"S0002",19,11.3569719224675
"S0002",20,12.1484016597506
"S0002",21,13.6930326708322
"S0002",22,13.8466576599771
"S0002",23,13.9841238076869
"S0002",24,14.0570683035794
"S0002",25,14.5486986560692
"S0002",26,14.6061205393538
"S0002",27,14.6876292925895
"S0002",28,14.7815441536071
"S0002",29,14.8423441622121
"S0002",30,14.9116032390925
"S0002",31,14.9930494478547
"S0002",32,15.0796140878524
"S0002",33,15.135750481815
"S0002",34,15.9443845359522
"S0002",35,16.5675963193169
"S0002",36,17.6735850550907
"S0002",37,18.814767572239
"S0002",38,19.8001440602173
"S0002",39,20.6453861414718
"S0002",40,21.7157875029151
"S0002",41,23.0514196066363
"S0002",42,24.1378897439447
"S0002",43,25.0896260453063
"S0002",44,25.9512356038257
"S0002",45,26.9867222882762
"S0002",46,28.017967555089
"S0002",47,28.9485191851351
"S0002",48,30.1237727226028
"S0002",49,31.9174038478443
"S0002",50,34.4549319480816
"S0002",51,36.9708212052742
"S0002",52,37.2236739851319
"S0002",53,37.3790183067439
"S0002",54,37.6779902531121
"S0002",55,37.9381344023517
"S0002",56,38.1652635505248
"S0002",57,38.4538200952018
"S0002",58,38.7055146556238
"S0002",59,38.8306985780694
"S0002",60,39.0661156048279
"S0002",61,39.2986299482213
"S0002",62,39.5285680977423
"S0002",63,39.6417990537462
"S0002",64,39.8547451107851
"S0002",65,40.0932221802057
"S0002",66,40.3536616829173
"S0002",67,40.4954228432231
"S0002",68,40.7515336064273
"S0002",69,40.9031983613763
"S0002",70,41.1934778255014
"S0002",71,41.3500605265211
"S0002",72,41.5702212276754
"S0002",73,41.7246739797124
"S0002",74,41.9645738086719
"S0002",75,42.1151566498276
"S0002",76,42.3672452198033
"S0002",77,42.6480476580881
"S0002",78,42.9428543942413
"S0002",79,43.3082554872514
"S0002",80,43.5213692063034
"S0002",81,43.7351499261706
"S0002",82,43.9556361583258
"S0002",83,44.3301915475645
"S0002",84,44.6242264588954
"S0002",85,44.9588080332413
"S0002",86,44.9907967795913
"S0002",87,45.0971920827563
"S0002",88,45.1970550164314
"S0002",89,45.3495759095543
"S0002",90,45.5247176499581
"S0002",91,45.7096196091603
