"Template_ID","Contextual_Separator_ID","Run_ID","Secondary_Label","Primary_Event_Label","Start_u","End_u","Duration_u","N_ISIs","N_Boundary_Spikes","Secondary_Event_Subtype","Product_Level_Mapping","Secondary_Scoring_Role"
"TPL_001","TPL_001_SEPARATOR_001","TPL_001_RUN_007","Contextual_Separator","none",32.0471790575168,32.6704756078963,0.623296550379503,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_002","TPL_002_SEPARATOR_001","TPL_002_RUN_011","Contextual_Separator","none",51.9804948037409,52.6053321355872,0.624837331846356,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_003","TPL_003_SEPARATOR_001","TPL_003_RUN_006","Contextual_Separator","none",26.740273832582,27.3552488342377,0.614975001655649,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_004","TPL_004_SEPARATOR_001","TPL_004_RUN_008","Contextual_Separator","none",34.1567887628129,34.6843432653093,0.527554502496441,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_005","TPL_005_SEPARATOR_001","TPL_005_RUN_015","Contextual_Separator","none",61.483233324128,62.0178884262343,0.53465510210634,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_006","TPL_006_SEPARATOR_001","TPL_006_RUN_011","Contextual_Separator","none",47.7751620021166,48.2836406859553,0.508478683838621,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_007","TPL_007_SEPARATOR_001","TPL_007_RUN_014","Contextual_Separator","none",50.8328477990042,51.4776319926439,0.644784193639727,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_008","TPL_008_SEPARATOR_001","TPL_008_RUN_006","Contextual_Separator","none",17.3660092686881,17.8520449058265,0.486035637138411,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_009","TPL_009_SEPARATOR_001","TPL_009_RUN_011","Contextual_Separator","none",42.2308427947061,42.7112881857856,0.480445391079411,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_010","TPL_010_SEPARATOR_001","TPL_010_RUN_005","Contextual_Separator","none",15.6319926082639,16.1052845931668,0.473291984902948,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_011","TPL_011_SEPARATOR_001","TPL_011_RUN_016","Contextual_Separator","none",59.5893483037008,60.1566883998812,0.567340096180484,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_012","TPL_012_SEPARATOR_001","TPL_012_RUN_010","Contextual_Separator","none",45.591152089845,46.0771071534246,0.485955063579604,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_013","TPL_013_SEPARATOR_001","TPL_013_RUN_002","Contextual_Separator","none",3.28263657049905,3.9090146944764,0.626378123977355,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_014","TPL_014_SEPARATOR_001","TPL_014_RUN_015","Contextual_Separator","none",65.71145264811,66.3311036276904,0.619650979580326,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_015","TPL_015_SEPARATOR_001","TPL_015_RUN_016","Contextual_Separator","none",56.5166468324796,57.0934602437265,0.576813411246985,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_016","TPL_016_SEPARATOR_001","TPL_016_RUN_002","Contextual_Separator","none",4.13776968199169,4.74298337980279,0.605213697811102,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_017","TPL_017_SEPARATOR_001","TPL_017_RUN_004","Contextual_Separator","none",10.2324762561631,10.8350976322101,0.602621376047045,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_018","TPL_018_SEPARATOR_001","TPL_018_RUN_007","Contextual_Separator","none",25.8899108611366,26.5282916520117,0.6383807908751,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_019","TPL_019_SEPARATOR_001","TPL_019_RUN_016","Contextual_Separator","none",60.1390975156574,60.6493116103819,0.510214094724506,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
"TPL_020","TPL_020_SEPARATOR_001","TPL_020_RUN_002","Contextual_Separator","none",3.21530855648007,3.76008569468532,0.544777138205245,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause"
