"Template_ID","State_Envelope_ID","Regularity_Regime","Contains_Injected_Burst","Start_Boundary_Observability","End_Boundary_Observability","Start_Boundary_Contrast","End_Boundary_Contrast","Start_Hard_Cut_Reason","End_Hard_Cut_Reason","Composite_HFS_Regime_ID"
"TPL_001","TPL_001_STATE_003","irregular",FALSE,"no_evidence","clear",0.533322834405025,1.7881580626235,"none","none","none"
"TPL_001","TPL_001_STATE_004","regular",TRUE,"clear","hard_cut_canonical_pause",1.902509982679,0.975247761102163,"none","canonical_pause","TPL_001_REGIME_01"
"TPL_001","TPL_001_STATE_005","intermediate",TRUE,"hard_cut_canonical_pause","recording_edge_unobservable",1.39236520247156,,"canonical_pause","none","TPL_001_REGIME_01"
"TPL_002","TPL_002_STATE_001","regular",FALSE,"recording_edge_unobservable","no_evidence",,0.545986795907911,"none","none","none"
"TPL_002","TPL_002_STATE_002","irregular",TRUE,"no_evidence","no_evidence",0.245820372035192,1.11973934801589,"none","none","none"
"TPL_002","TPL_002_STATE_003","intermediate",TRUE,"ambiguous","no_evidence",1.23487732355284,1.06492844700904,"none","none","none"
"TPL_003","TPL_003_STATE_001","irregular",TRUE,"recording_edge_unobservable","hard_cut_canonical_pause",,1.42627508052704,"none","canonical_pause","TPL_003_REGIME_01"
"TPL_003","TPL_003_STATE_002","regular",TRUE,"hard_cut_canonical_pause","clear",0.738638942100919,3.18057931860052,"canonical_pause","none","TPL_003_REGIME_01"
"TPL_003","TPL_003_STATE_004","intermediate",FALSE,"no_evidence","ambiguous",0.779667048320325,1.27180470983437,"none","none","none"
"TPL_004","TPL_004_STATE_001","intermediate",FALSE,"recording_edge_unobservable","no_evidence",,0.7540156892501,"none","none","none"
"TPL_004","TPL_004_STATE_002","irregular",TRUE,"no_evidence","ambiguous",0.985458973444506,1.41449686802625,"none","none","none"
"TPL_004","TPL_004_STATE_003","regular",TRUE,"no_evidence","no_evidence",1.05448931235121,0.516983096043703,"none","none","none"
"TPL_005","TPL_005_STATE_001","regular",TRUE,"recording_edge_unobservable","clear",,1.98849658158131,"none","none","none"
"TPL_005","TPL_005_STATE_003","intermediate",TRUE,"clear","clear",2.23456250335803,5.73525034544291,"none","none","none"
"TPL_005","TPL_005_STATE_005","irregular",FALSE,"no_evidence","clear",0.928626199683786,10.4892643964447,"none","none","none"
"TPL_006","TPL_006_STATE_002","irregular",TRUE,"clear","hard_cut_canonical_pause",4.70084850887233,1.403252709656,"none","canonical_pause","TPL_006_REGIME_01"
"TPL_006","TPL_006_STATE_003","regular",TRUE,"hard_cut_canonical_pause","ambiguous",1.16106133596266,1.37176751952218,"canonical_pause","none","TPL_006_REGIME_01"
"TPL_006","TPL_006_STATE_004","intermediate",FALSE,"clear","ambiguous",1.61830425910745,1.31395590500644,"none","none","none"
"TPL_007","TPL_007_STATE_002","intermediate",TRUE,"ambiguous","no_evidence",1.59256532207607,0.228292641327091,"none","none","none"
"TPL_007","TPL_007_STATE_003","regular",FALSE,"no_evidence","clear",0.439687653567963,8.03505860093947,"none","none","none"
"TPL_007","TPL_007_STATE_004","irregular",TRUE,"no_evidence","clear",0.363455973862733,4.23922901258645,"none","none","none"
"TPL_008","TPL_008_STATE_002","regular",FALSE,"clear","no_evidence",1.89310361333712,0.566593182458581,"none","none","none"
"TPL_008","TPL_008_STATE_004","intermediate",TRUE,"clear","hard_cut_canonical_pause",6.57375955284552,2.03188466046782,"none","canonical_pause","TPL_008_REGIME_01"
"TPL_008","TPL_008_STATE_005","irregular",TRUE,"hard_cut_canonical_pause","recording_edge_unobservable",2.25010115842674,,"canonical_pause","none","TPL_008_REGIME_01"
