"Calibration_Row","Calibration_Mode","Episode_ID","Sample_ID","Template_ID","Scale_Factor","B_s","Start_s","End_s","Duration_s"
1,"Burst","TPL_001_EVENT_002","S0015","TPL_001",1,0.1,1.76424763036408,1.80571513647342,0.0414675061093327
2,"Burst","TPL_001_EVENT_003","S0015","TPL_001",1,0.1,1.8619507071622,1.90748320227762,0.0455324951154239
3,"Burst","TPL_001_EVENT_008","S0015","TPL_001",1,0.1,5.07372738245077,5.09479075112092,0.0210633686701435
4,"Burst","TPL_002_EVENT_001","S0030","TPL_002",1,0.1,0.529445742582929,0.596551545889724,0.0671058033067952
5,"Burst","TPL_002_EVENT_002","S0030","TPL_002",1,0.1,1.07410217365759,1.09459106462672,0.0204888909691267
6,"Burst","TPL_002_EVENT_003","S0030","TPL_002",1,0.1,1.84050742583374,1.85616636354884,0.0156589377150944
7,"Burst","TPL_002_EVENT_006","S0030","TPL_002",1,0.1,3.31294997036528,3.39432923620078,0.081379265835507
8,"Burst","TPL_003_EVENT_001","S0058","TPL_003",1,0.1,0.356149356534955,0.372754494925589,0.0166051383906334
9,"Burst","TPL_004_EVENT_001","S0011","TPL_004",1,0.1,0.662192629420036,0.698518688720264,0.0363260593002274
10,"Burst","TPL_005_EVENT_003","S0028","TPL_005",1,0.1,2.26680110448079,2.27954070323993,0.0127395987591395
11,"Pause","TPL_001_EVENT_001","S0015","TPL_001",1,0.1,1.18933117726839,1.6731096522745,0.483778475006111
12,"Pause","TPL_001_EVENT_004","S0015","TPL_001",1,0.1,2.59081149121717,3.23424937257514,0.643437881357968
13,"Pause","TPL_001_EVENT_007","S0015","TPL_001",1,0.1,4.56157773277303,4.90092463815165,0.339346905378625
14,"Pause","TPL_002_EVENT_004","S0030","TPL_002",1,0.1,2.55492993628034,2.89540394112827,0.340474004847929
15,"Pause","TPL_002_EVENT_005","S0030","TPL_002",1,0.1,2.98047026304599,3.31294997036528,0.33247970731929
16,"Pause","TPL_003_EVENT_002","S0058","TPL_003",1,0.1,0.613691478637606,1.09380444190986,0.480112963272259
17,"Pause","TPL_003_EVENT_004","S0058","TPL_003",1,0.1,3.08286323828563,3.38596064784505,0.303097409559414
18,"Pause","TPL_003_EVENT_008","S0058","TPL_003",1,0.1,4.4359583575867,4.93540147198661,0.49944311439991
19,"Pause","TPL_004_EVENT_003","S0011","TPL_004",1,0.1,1.21743442402968,1.5283865708653,0.310952146835625
