"Sample_ID","Template_ID","Scale_Factor","B_s","Workbook_Batch","Split","Template_Duration_u","Recording_Duration_s"
"S0015","TPL_001",1,0.1,"Batch_C","development",73.7933070268073,7.37933070268073
"S0056","TPL_001",4,0.4,"Batch_A","development",73.7933070268073,29.5173228107229
"S0007","TPL_001",10,1,"Batch_B","development",73.7933070268073,73.7933070268073
"S0030","TPL_002",1,0.1,"Batch_C","development",70.1331185742627,7.01331185742627
"S0006","TPL_002",4,0.4,"Batch_A","development",70.1331185742627,28.0532474297051
"S0044","TPL_002",10,1,"Batch_B","development",70.1331185742627,70.1331185742627
"S0058","TPL_003",1,0.1,"Batch_C","development",69.057993639592,6.9057993639592
"S0049","TPL_003",4,0.4,"Batch_A","development",69.057993639592,27.6231974558368
"S0040","TPL_003",10,1,"Batch_B","development",69.057993639592,69.057993639592
"S0011","TPL_004",1,0.1,"Batch_C","development",66.0965873439531,6.60965873439531
"S0014","TPL_004",4,0.4,"Batch_A","development",66.0965873439531,26.4386349375812
"S0055","TPL_004",10,1,"Batch_B","development",66.0965873439531,66.0965873439531
"S0028","TPL_005",1,0.1,"Batch_C","development",65.5726987798982,6.55726987798982
"S0052","TPL_005",4,0.4,"Batch_A","development",65.5726987798982,26.2290795119593
"S0009","TPL_005",10,1,"Batch_B","development",65.5726987798982,65.5726987798982
"S0045","TPL_006",1,0.1,"Batch_C","holdout",71.885149173853,7.1885149173853
"S0035","TPL_006",4,0.4,"Batch_A","holdout",71.885149173853,28.7540596695412
"S0004","TPL_006",10,1,"Batch_B","holdout",71.885149173853,71.885149173853
"S0059","TPL_007",1,0.1,"Batch_C","holdout",64.2233646952107,6.42233646952107
"S0041","TPL_007",4,0.4,"Batch_A","holdout",64.2233646952107,25.6893458780843
"S0043","TPL_007",10,1,"Batch_B","holdout",64.2233646952107,64.2233646952107
"S0026","TPL_008",1,0.1,"Batch_C","holdout",70.4801727463278,7.04801727463278
"S0001","TPL_008",4,0.4,"Batch_A","holdout",70.4801727463278,28.1920690985311
"S0054","TPL_008",10,1,"Batch_B","holdout",70.4801727463278,70.4801727463278
"S0048","TPL_009",1,0.1,"Batch_C","holdout",63.9867592784231,6.39867592784231
"S0039","TPL_009",4,0.4,"Batch_A","holdout",63.9867592784231,25.5947037113692
"S0008","TPL_009",10,1,"Batch_B","holdout",63.9867592784231,63.9867592784231
"S0036","TPL_010",1,0.1,"Batch_C","holdout",75.8046840275083,7.58046840275084
"S0027","TPL_010",4,0.4,"Batch_A","holdout",75.8046840275083,30.3218736110033
"S0002","TPL_010",10,1,"Batch_B","holdout",75.8046840275083,75.8046840275083
"S0050","TPL_011",1,0.1,"Batch_C","holdout",63.0132920223269,6.30132920223269
"S0034","TPL_011",4,0.4,"Batch_A","holdout",63.0132920223269,25.2053168089307
"S0046","TPL_011",10,1,"Batch_B","holdout",63.0132920223269,63.0132920223269
"S0016","TPL_012",1,0.1,"Batch_C","holdout",69.9645246639525,6.99645246639525
"S0031","TPL_012",4,0.4,"Batch_A","holdout",69.9645246639525,27.985809865581
"S0057","TPL_012",10,1,"Batch_B","holdout",69.9645246639525,69.9645246639525
"S0012","TPL_013",1,0.1,"Batch_C","holdout",68.4008193390988,6.84008193390988
"S0022","TPL_013",4,0.4,"Batch_A","holdout",68.4008193390988,27.3603277356395
"S0053","TPL_013",10,1,"Batch_B","holdout",68.4008193390988,68.4008193390988
"S0033","TPL_014",1,0.1,"Batch_C","holdout",69.088119859062,6.9088119859062
"S0051","TPL_014",4,0.4,"Batch_A","holdout",69.088119859062,27.6352479436248
"S0019","TPL_014",10,1,"Batch_B","holdout",69.088119859062,69.088119859062
"S0013","TPL_015",1,0.1,"Batch_C","holdout",61.3526010763711,6.13526010763711
"S0038","TPL_015",4,0.4,"Batch_A","holdout",61.3526010763711,24.5410404305484
"S0018","TPL_015",10,1,"Batch_B","holdout",61.3526010763711,61.3526010763711
"S0010","TPL_016",1,0.1,"Batch_C","holdout",64.8699245232805,6.48699245232805
"S0024","TPL_016",4,0.4,"Batch_A","holdout",64.8699245232805,25.9479698093122
"S0060","TPL_016",10,1,"Batch_B","holdout",64.8699245232805,64.8699245232805
"S0005","TPL_017",1,0.1,"Batch_C","holdout",64.1052499106005,6.41052499106006
"S0042","TPL_017",4,0.4,"Batch_A","holdout",64.1052499106005,25.6420999642402
"S0029","TPL_017",10,1,"Batch_B","holdout",64.1052499106005,64.1052499106005
"S0023","TPL_018",1,0.1,"Batch_C","holdout",62.9956244897971,6.29956244897971
"S0017","TPL_018",4,0.4,"Batch_A","holdout",62.9956244897971,25.1982497959188
"S0032","TPL_018",10,1,"Batch_B","holdout",62.9956244897971,62.9956244897971
"S0047","TPL_019",1,0.1,"Batch_C","holdout",64.1950867917652,6.41950867917652
"S0037","TPL_019",4,0.4,"Batch_A","holdout",64.1950867917652,25.6780347167061
"S0025","TPL_019",10,1,"Batch_B","holdout",64.1950867917652,64.1950867917652
"S0021","TPL_020",1,0.1,"Batch_C","holdout",64.4031889213139,6.44031889213139
"S0020","TPL_020",4,0.4,"Batch_A","holdout",64.4031889213139,25.7612755685256
"S0003","TPL_020",10,1,"Batch_B","holdout",64.4031889213139,64.4031889213139
