"Template_ID","State_Envelope_ID","Tonic_Subtype","Tonic_Intended_Stratum","Tonic_Rate_Overlap_Stratum","Tonic_Phenotype_Evidence_Score","Tonic_Phenotype","Eligibility_Reason","N_ISIs","Duration_u","Median_ISI_u","Local_Left_Median_ISI_u","Local_Right_Median_ISI_u","Left_Log_Rate_Contrast","Right_Log_Rate_Contrast","CV","CV2","LV","Stability_Subscore","Duration_Subscore","Local_Separation_Subscore","Subtype_Band_Subscore","Detector_Output_Used","Sample_ID","Scale_Factor","B_s","Split","Duration_s","Median_ISI_s","Local_Left_Median_ISI_s","Local_Right_Median_ISI_s"
"TPL_001","TPL_001_STATE_001","generic_stress","eligible","core",0.652548383680127,"eligible","pre_frozen_timestamp_evidence_contract_met",12,12.8257610398382,1.05235978868025,,0.513869342395541,,0.71682130380896,0.234500723674635,0.30509725072384,0.0937908613231705,0.631943508620534,0.6,0.782307709631411,0.616547191528156,FALSE,"S0015",1,0.1,"development",1.28257610398382,0.105235978868025,,0.0513869342395541
"TPL_001","TPL_001_STATE_002","stn_like_empirical","eligible","boundary",0.875791398554017,"eligible","pre_frozen_timestamp_evidence_contract_met",15,6.89705857992156,0.447537919343033,1.03914744678182,1.4476523681016,0.842394623149333,1.17393719675749,0.162327408125263,0.154382292523751,0.0285546806196312,0.801297730955119,0.9,0.959676494504273,0.916685036355575,FALSE,"S0015",1,0.1,"development",0.689705857992156,0.0447537919343033,0.103914744678182,0.14476523681016
"TPL_001","TPL_001_STATE_001","generic_stress","eligible","core",0.652548383680127,"eligible","pre_frozen_timestamp_evidence_contract_met",12,12.8257610398382,1.05235978868025,,0.513869342395541,,0.71682130380896,0.234500723674635,0.30509725072384,0.0937908613231705,0.631943508620534,0.6,0.782307709631411,0.616547191528156,FALSE,"S0056",4,0.4,"development",5.13030441593528,0.420943915472102,,0.205547736958217
"TPL_001","TPL_001_STATE_002","stn_like_empirical","eligible","boundary",0.875791398554017,"eligible","pre_frozen_timestamp_evidence_contract_met",15,6.89705857992156,0.447537919343033,1.03914744678182,1.4476523681016,0.842394623149333,1.17393719675749,0.162327408125263,0.154382292523751,0.0285546806196312,0.801297730955119,0.9,0.959676494504273,0.916685036355575,FALSE,"S0056",4,0.4,"development",2.75882343196863,0.179015167737213,0.415658978712729,0.579060947240639
"TPL_001","TPL_001_STATE_001","generic_stress","eligible","core",0.652548383680127,"eligible","pre_frozen_timestamp_evidence_contract_met",12,12.8257610398382,1.05235978868025,,0.513869342395541,,0.71682130380896,0.234500723674635,0.30509725072384,0.0937908613231705,0.631943508620534,0.6,0.782307709631411,0.616547191528156,FALSE,"S0007",10,1,"development",12.8257610398382,1.05235978868025,,0.513869342395541
"TPL_001","TPL_001_STATE_002","stn_like_empirical","eligible","boundary",0.875791398554017,"eligible","pre_frozen_timestamp_evidence_contract_met",15,6.89705857992156,0.447537919343033,1.03914744678182,1.4476523681016,0.842394623149333,1.17393719675749,0.162327408125263,0.154382292523751,0.0285546806196312,0.801297730955119,0.9,0.959676494504273,0.916685036355575,FALSE,"S0007",10,1,"development",6.89705857992156,0.447537919343033,1.03914744678182,1.4476523681016
"TPL_002","TPL_002_STATE_004","generic_stress","eligible","boundary",0.56901465437654,"ambiguous","borderline_continuous_evidence_score",13,5.8864804333155,0.441529803302989,0.586563589595385,0.480070954566788,0.284035561958082,0.0836883925757705,0.242620255735374,0.234711939915545,0.0582353331739269,0.689455039541314,0.7,0.200658994870395,0.565504197929677,FALSE,"S0030",1,0.1,"development",0.58864804333155,0.0441529803302989,0.0586563589595385,0.0480070954566788
"TPL_002","TPL_002_STATE_005","stn_like_empirical","eligible","deep",0.803973378981963,"eligible","pre_frozen_timestamp_evidence_contract_met",12,5.259786123631,0.440019440328821,0.721672388798965,3.15754862134345,0.494752372286941,1.97073234428789,0.0634524807700866,0.0965818322017883,0.00804075434608118,0.906058691999136,0.6,0.769975650236573,0.83777386067497,FALSE,"S0030",1,0.1,"development",0.5259786123631,0.0440019440328821,0.0721672388798965,0.315754862134345
"TPL_002","TPL_002_STATE_004","generic_stress","eligible","boundary",0.56901465437654,"ambiguous","borderline_continuous_evidence_score",13,5.8864804333155,0.441529803302989,0.586563589595385,0.480070954566788,0.284035561958082,0.0836883925757705,0.242620255735374,0.234711939915545,0.0582353331739269,0.689455039541314,0.7,0.200658994870395,0.565504197929677,FALSE,"S0006",4,0.4,"development",2.3545921733262,0.176611921321196,0.234625435838154,0.192028381826715
"TPL_002","TPL_002_STATE_005","stn_like_empirical","eligible","deep",0.803973378981963,"eligible","pre_frozen_timestamp_evidence_contract_met",12,5.259786123631,0.440019440328821,0.721672388798965,3.15754862134345,0.494752372286941,1.97073234428789,0.0634524807700866,0.0965818322017883,0.00804075434608118,0.906058691999136,0.6,0.769975650236573,0.83777386067497,FALSE,"S0006",4,0.4,"development",2.1039144494524,0.176007776131528,0.288668955519586,1.26301944853738
"TPL_002","TPL_002_STATE_004","generic_stress","eligible","boundary",0.56901465437654,"ambiguous","borderline_continuous_evidence_score",13,5.8864804333155,0.441529803302989,0.586563589595385,0.480070954566788,0.284035561958082,0.0836883925757705,0.242620255735374,0.234711939915545,0.0582353331739269,0.689455039541314,0.7,0.200658994870395,0.565504197929677,FALSE,"S0044",10,1,"development",5.8864804333155,0.441529803302989,0.586563589595385,0.480070954566788
"TPL_002","TPL_002_STATE_005","stn_like_empirical","eligible","deep",0.803973378981963,"eligible","pre_frozen_timestamp_evidence_contract_met",12,5.259786123631,0.440019440328821,0.721672388798965,3.15754862134345,0.494752372286941,1.97073234428789,0.0634524807700866,0.0965818322017883,0.00804075434608118,0.906058691999136,0.6,0.769975650236573,0.83777386067497,FALSE,"S0044",10,1,"development",5.259786123631,0.440019440328821,0.721672388798965,3.15754862134345
"TPL_003","TPL_003_STATE_003","generic_stress","eligible","deep",0.606536759202621,"ambiguous","weak_local_boundary_contrast",13,5.54382338617514,0.388069739738712,0.381457314236961,0.47737004558466,0.0171861098889932,0.207106901969713,0.210370804312222,0.243527311885684,0.0745120039835185,0.692422664849231,0.7,0.122391837031868,0.825446629282772,FALSE,"S0058",1,0.1,"development",0.554382338617514,0.0388069739738712,0.0381457314236961,0.047737004558466
"TPL_003","TPL_003_STATE_005","stn_like_empirical","eligible","core",0.780371676592422,"eligible","pre_frozen_timestamp_evidence_contract_met",13,8.42302339116217,0.654010674414238,0.42714274070466,1.80614562826348,0.426005428326712,1.01582669347253,0.103348918161962,0.137294660697815,0.0206619338912644,0.85165163750073,0.7,0.73246193239092,0.766093175569732,FALSE,"S0058",1,0.1,"development",0.842302339116217,0.0654010674414238,0.042714274070466,0.180614562826348
"TPL_003","TPL_003_STATE_003","generic_stress","eligible","deep",0.606536759202621,"ambiguous","weak_local_boundary_contrast",13,5.54382338617514,0.388069739738712,0.381457314236961,0.47737004558466,0.0171861098889932,0.207106901969713,0.210370804312222,0.243527311885684,0.0745120039835185,0.692422664849231,0.7,0.122391837031868,0.825446629282772,FALSE,"S0049",4,0.4,"development",2.21752935447006,0.155227895895485,0.152582925694785,0.190948018233864
"TPL_003","TPL_003_STATE_005","stn_like_empirical","eligible","core",0.780371676592422,"eligible","pre_frozen_timestamp_evidence_contract_met",13,8.42302339116217,0.654010674414238,0.42714274070466,1.80614562826348,0.426005428326712,1.01582669347253,0.103348918161962,0.137294660697815,0.0206619338912644,0.85165163750073,0.7,0.73246193239092,0.766093175569732,FALSE,"S0049",4,0.4,"development",3.36920935646487,0.261604269765695,0.170857096281864,0.72245825130539
"TPL_003","TPL_003_STATE_003","generic_stress","eligible","deep",0.606536759202621,"ambiguous","weak_local_boundary_contrast",13,5.54382338617514,0.388069739738712,0.381457314236961,0.47737004558466,0.0171861098889932,0.207106901969713,0.210370804312222,0.243527311885684,0.0745120039835185,0.692422664849231,0.7,0.122391837031868,0.825446629282772,FALSE,"S0040",10,1,"development",5.54382338617514,0.388069739738712,0.381457314236961,0.47737004558466
