"Template_ID","Run_ID","Run_Ordinal","Start_u","End_u","Source_Type","Primary_Descriptor","State_Label","Event_Label","Pause_Subtype","Contextual_Separator_Label","Borderline_Gap_Label","Secondary_Event_Label","Secondary_Event_Subtype","Secondary_Scoring_Role","Product_Level_Mapping","Renewal_Family","Regularity_Regime","Tonic_Subtype","Tonic_Rate_Overlap_Stratum","HFS_Rate_Overlap_Stratum","HFS_Support_Contract_Version","Burst_Strength_Stratum","Burst_Quota_ID","Burst_Contrast_Target","Component_Type","Component_Slot","RNG_Seed","RNG_Stream_Registry","Local_ISI_SHA256","Mean_ISI_Parameter_u","Gamma_Shape","Refractory_u","N_ISIs","Duration_u","Observed_Mean_ISI_u","CV","CV2","LV","Generation_Attempts","Sample_ID","Scale_Factor","B_s","Split","Start_s","End_s","Duration_s","Mean_ISI_Parameter_s","Refractory_s","Observed_Mean_ISI_s"
"TPL_001","TPL_001_RUN_001",1,0,12.8257610398382,"tonic_shifted_gamma_generic_stress","Tonic:generic_stress","Tonic","none","none","none","none","none","none","none","none","shifted_gamma","generic_stress","generic_stress","core","not_applicable","not_applicable","none","none",,"tonic","tonic_generic_stress",971834811,"point_process=971834811","52b3c11710559c53460bab2531bcb6e6008d21d8cd90b6fead2bf4d9260dc34e",0.963091246765107,15.3015535734594,0.02,12,12.8257610398382,1.06881341998652,0.234500723674635,0.30509725072384,0.0937908613231705,1,"S0015",1,0.1,"development",0,1.28257610398382,1.28257610398382,0.0963091246765107,0.002,0.106881341998652
"TPL_001","TPL_001_RUN_002",2,12.8257610398382,15.9670527160205,"canonical_mechanism","Pause:canonical","none","Pause","canonical","none","none","none","none","none","none","explicit_gap","canonical","none","not_applicable","not_applicable","not_applicable","none","none",,"pause","canonical_after_tonic",1841288327,"point_process=1841288327","647f8d81690a65d6e0532412b8629cdd178a3c79d4767412e8d82295586ceca6",3.1412916761823,,,1,3.1412916761823,3.1412916761823,0,0,0,1,"S0015",1,0.1,"development",1.28257610398382,1.59670527160205,0.31412916761823,0.31412916761823,,0.31412916761823
"TPL_001","TPL_001_RUN_003",3,15.9670527160205,16.5218306627834,"background_shifted_gamma","Background","none","none","none","none","none","none","none","none","none","shifted_gamma","background","none","not_applicable","not_applicable","not_applicable","none","none",,"background","after_tonic_canonical_pause_macro",297472611,"point_process=297472611","855caa39e508fcb3f1484f893d2ea4dc831e1712cf4ed8d15f87a4164be8dbc9",0.653656646970194,2.41282059170771,0.02,1,0.554777946762909,0.554777946762909,0,0,0,1,"S0015",1,0.1,"development",1.59670527160205,1.65218306627834,0.0554777946762909,0.0653656646970194,0.002,0.0554777946762909
"TPL_001","TPL_001_RUN_004",4,16.5218306627834,23.418889242705,"tonic_shifted_gamma_stn_like_empirical","Tonic:stn_like_empirical","Tonic","none","none","none","none","none","none","none","none","shifted_gamma","stn_like_empirical","stn_like_empirical","boundary","not_applicable","not_applicable","none","none",,"tonic","tonic_stn_like_empirical",773128855,"point_process=773128855","78f58d1c40002b35ef19155551d5afa07615c8d83614799079b9c1480ab93a38",0.471605431428179,49.0355913806707,0.02,15,6.89705857992156,0.459803905328104,0.162327408125263,0.154382292523751,0.0285546806196312,1,"S0015",1,0.1,"development",1.65218306627834,2.3418889242705,0.689705857992156,0.0471605431428179,0.002,0.0459803905328104
"TPL_001","TPL_001_RUN_005",5,23.418889242705,28.6735463044755,"complex_multi_gap_mechanism","Pause:complex_multi_gap","none","Pause","complex_multi_gap","none","none","none","none","none","none","explicit_gap","complex_multi_gap","none","not_applicable","not_applicable","not_applicable","none","none",,"pause","complex_multi_gap_after_tonic",1851058062,"point_process=1851058062","fb9c22442f00f06d9b1e7f63722eff0786352231788377c9570fdb6bc8378ad7",2.62732853088528,,,2,5.25465706177056,2.62732853088528,0.129533504192011,0.183188038410054,0.0251683930623926,1,"S0015",1,0.1,"development",2.3418889242705,2.86735463044755,0.525465706177056,0.262732853088528,,0.262732853088528
"TPL_001","TPL_001_RUN_006",6,28.6735463044755,32.0471790575168,"standalone_background_shifted_gamma","Burst","none","Burst","none","none","none","none","none","none","none","shifted_gamma","standalone_background","none","not_applicable","not_applicable","not_applicable","weak","BQ_001",2.88903102949262,"burst","BQ_001",1540251816,"hfs=1419388088;nested_burst=1655082649;point_process=1540251816","9692fb230909f52ade869c9df69982627562d62902a88e4eb6498817ab20d1da",0.724028901464772,3.82232811078429,0.02,8,3.37363275304122,0.421704094130153,0.596796058628778,0.364808945930332,0.139224185404902,3,"S0015",1,0.1,"development",2.86735463044755,3.20471790575168,0.337363275304122,0.0724028901464771,0.002,0.0421704094130153
"TPL_001","TPL_001_RUN_007",7,32.0471790575168,32.6704756078963,"contextual_gap_mechanism","Contextual_Separator","none","none","none","Contextual_Separator","none","Contextual_Separator","contextual_interburst_gap_separator","secondary_target_excluded_from_primary_pause","Pause","explicit_gap","contextual_separator","none","not_applicable","not_applicable","not_applicable","none","none",,"contextual_separator","separator_1",460194801,"point_process=460194801","ae41db7cae06e5f917bfed747329ca46ec17a5ee4c806ec30a8502d72eae8fbc",0.623296550379503,,,1,0.623296550379503,0.623296550379503,0,0,0,1,"S0015",1,0.1,"development",3.20471790575168,3.26704756078963,0.0623296550379503,0.0623296550379503,,0.0623296550379503
"TPL_001","TPL_001_RUN_008",8,32.6704756078963,36.6001193505121,"standalone_background_shifted_gamma","Burst","none","Burst","none","none","none","none","none","none","none","shifted_gamma","standalone_background","none","not_applicable","not_applicable","not_applicable","moderate","BQ_002",3.74765297677368,"burst","BQ_002",478922285,"hfs=1497785234;nested_burst=104640256;point_process=478922285","64bff8345210f331438dddfba1f08566b340a2292ed29570087c59e836b0a8a7",0.501780904177576,4.49280708432198,0.02,11,3.92964374261589,0.357240340237808,0.820010683773303,0.535008779316049,0.287580830804208,2,"S0015",1,0.1,"development",3.26704756078963,3.66001193505121,0.392964374261589,0.0501780904177576,0.002,0.0357240340237808
"TPL_001","TPL_001_RUN_009",9,36.6001193505121,42.0762141064265,"standalone_background_shifted_gamma","Burst","none","Burst","none","none","none","none","none","none","none","shifted_gamma","standalone_background","none","not_applicable","not_applicable","not_applicable","strong","BQ_003",5.00231299572624,"burst","BQ_003",1001180669,"hfs=706866497;nested_burst=633658229;point_process=1001180669","1dfbae76787f9776cea547b35088868c13c497d7a81ee44274576199598034d4",0.788979655271396,2.67938217222691,0.02,12,5.47609475591431,0.456341229659526,0.792866395400959,0.593141696251275,0.433407514356583,2,"S0015",1,0.1,"development",3.66001193505121,4.20762141064265,0.547609475591431,0.0788979655271396,0.002,0.0456341229659526
"TPL_001","TPL_001_RUN_010",10,42.0762141064265,49.6976331014678,"broad_hfs_shifted_gamma","Broad_HFS","Broad_HFS","none","none","none","none","none","none","none","none","shifted_gamma","irregular","none","not_applicable","deep","v2.3_slow_overlap_direct_support_0.65B","none","none",,"hfs","plain_hfs_irregular",144721407,"point_process=144721407","3dda55f02e7c088d4310ef6b10bbfb83291b7b17869fec57ee772e90efe9aca8",0.400550139686093,1.58736596780363,0.02,22,7.62141899504136,0.346428136138243,0.522841389835867,0.585480848421635,0.375656312143157,58,"S0015",1,0.1,"development",4.20762141064265,4.96976331014678,0.762141899504136,0.0400550139686093,0.002,0.0346428136138243
