"Template_ID","Contextual_Separator_ID","Run_ID","Secondary_Label","Primary_Event_Label","Start_u","End_u","Duration_u","N_ISIs","N_Boundary_Spikes","Secondary_Event_Subtype","Product_Level_Mapping","Secondary_Scoring_Role","Sample_ID","Scale_Factor","B_s","Split","Start_s","End_s","Duration_s"
"TPL_001","TPL_001_SEPARATOR_001","TPL_001_RUN_007","Contextual_Separator","none",32.0471790575168,32.6704756078963,0.623296550379503,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0015",1,0.1,"development",3.20471790575168,3.26704756078963,0.0623296550379503
"TPL_001","TPL_001_SEPARATOR_001","TPL_001_RUN_007","Contextual_Separator","none",32.0471790575168,32.6704756078963,0.623296550379503,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0056",4,0.4,"development",12.8188716230067,13.0681902431585,0.249318620151801
"TPL_001","TPL_001_SEPARATOR_001","TPL_001_RUN_007","Contextual_Separator","none",32.0471790575168,32.6704756078963,0.623296550379503,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0007",10,1,"development",32.0471790575168,32.6704756078963,0.623296550379503
"TPL_002","TPL_002_SEPARATOR_001","TPL_002_RUN_011","Contextual_Separator","none",51.9804948037409,52.6053321355872,0.624837331846356,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0030",1,0.1,"development",5.19804948037409,5.26053321355872,0.0624837331846356
"TPL_002","TPL_002_SEPARATOR_001","TPL_002_RUN_011","Contextual_Separator","none",51.9804948037409,52.6053321355872,0.624837331846356,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0006",4,0.4,"development",20.7921979214963,21.0421328542349,0.249934932738543
"TPL_002","TPL_002_SEPARATOR_001","TPL_002_RUN_011","Contextual_Separator","none",51.9804948037409,52.6053321355872,0.624837331846356,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0044",10,1,"development",51.9804948037409,52.6053321355872,0.624837331846356
"TPL_003","TPL_003_SEPARATOR_001","TPL_003_RUN_006","Contextual_Separator","none",26.740273832582,27.3552488342377,0.614975001655649,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0058",1,0.1,"development",2.6740273832582,2.73552488342377,0.0614975001655649
"TPL_003","TPL_003_SEPARATOR_001","TPL_003_RUN_006","Contextual_Separator","none",26.740273832582,27.3552488342377,0.614975001655649,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0049",4,0.4,"development",10.6961095330328,10.9420995336951,0.24599000066226
"TPL_003","TPL_003_SEPARATOR_001","TPL_003_RUN_006","Contextual_Separator","none",26.740273832582,27.3552488342377,0.614975001655649,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0040",10,1,"development",26.740273832582,27.3552488342377,0.614975001655649
"TPL_004","TPL_004_SEPARATOR_001","TPL_004_RUN_008","Contextual_Separator","none",34.1567887628129,34.6843432653093,0.527554502496441,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0011",1,0.1,"development",3.41567887628129,3.46843432653093,0.0527554502496441
"TPL_004","TPL_004_SEPARATOR_001","TPL_004_RUN_008","Contextual_Separator","none",34.1567887628129,34.6843432653093,0.527554502496441,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0014",4,0.4,"development",13.6627155051252,13.8737373061237,0.211021800998576
"TPL_004","TPL_004_SEPARATOR_001","TPL_004_RUN_008","Contextual_Separator","none",34.1567887628129,34.6843432653093,0.527554502496441,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0055",10,1,"development",34.1567887628129,34.6843432653093,0.527554502496441
"TPL_005","TPL_005_SEPARATOR_001","TPL_005_RUN_015","Contextual_Separator","none",61.483233324128,62.0178884262343,0.53465510210634,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0028",1,0.1,"development",6.1483233324128,6.20178884262343,0.053465510210634
"TPL_005","TPL_005_SEPARATOR_001","TPL_005_RUN_015","Contextual_Separator","none",61.483233324128,62.0178884262343,0.53465510210634,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0052",4,0.4,"development",24.5932933296512,24.8071553704937,0.213862040842536
"TPL_005","TPL_005_SEPARATOR_001","TPL_005_RUN_015","Contextual_Separator","none",61.483233324128,62.0178884262343,0.53465510210634,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0009",10,1,"development",61.483233324128,62.0178884262343,0.53465510210634
"TPL_006","TPL_006_SEPARATOR_001","TPL_006_RUN_011","Contextual_Separator","none",47.7751620021166,48.2836406859553,0.508478683838621,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0045",1,0.1,"holdout",4.77751620021166,4.82836406859553,0.0508478683838621
"TPL_006","TPL_006_SEPARATOR_001","TPL_006_RUN_011","Contextual_Separator","none",47.7751620021166,48.2836406859553,0.508478683838621,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0035",4,0.4,"holdout",19.1100648008467,19.3134562743821,0.203391473535448
"TPL_006","TPL_006_SEPARATOR_001","TPL_006_RUN_011","Contextual_Separator","none",47.7751620021166,48.2836406859553,0.508478683838621,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0004",10,1,"holdout",47.7751620021166,48.2836406859553,0.508478683838621
"TPL_007","TPL_007_SEPARATOR_001","TPL_007_RUN_014","Contextual_Separator","none",50.8328477990042,51.4776319926439,0.644784193639727,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0059",1,0.1,"holdout",5.08328477990042,5.14776319926439,0.0644784193639727
"TPL_007","TPL_007_SEPARATOR_001","TPL_007_RUN_014","Contextual_Separator","none",50.8328477990042,51.4776319926439,0.644784193639727,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0041",4,0.4,"holdout",20.3331391196017,20.5910527970576,0.257913677455891
"TPL_007","TPL_007_SEPARATOR_001","TPL_007_RUN_014","Contextual_Separator","none",50.8328477990042,51.4776319926439,0.644784193639727,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0043",10,1,"holdout",50.8328477990042,51.4776319926439,0.644784193639727
"TPL_008","TPL_008_SEPARATOR_001","TPL_008_RUN_006","Contextual_Separator","none",17.3660092686881,17.8520449058265,0.486035637138411,1,2,"contextual_interburst_gap_separator","Pause","secondary_target_excluded_from_primary_pause","S0026",1,0.1,"holdout",1.73660092686881,1.78520449058265,0.0486035637138411
