"Template_ID","Event_ID","Run_ID","State_Envelope_ID","Event_Label","Pause_Subtype","Event_Context","Latent_Pulse_ID","Latent_Start_u","Latent_End_u","Latent_Duration_u","Realized_Start_u","Realized_End_u","Realized_Duration_u","Realized_Left_Spike_Index","Realized_Right_Spike_Index","N_Realized_Spikes","N_Realized_ISIs","Rate_Multiplier","Target_Mean_ISI_Contrast","Pulse_Refractory_Limited","Latent_Window_Truncated","Pulse_Strength_Stratum","Frozen_Target_Spikes","Burst_Quota_ID","Is_Four_Spike_Boundary","Observed_Left_Context_ISIs","Observed_Right_Context_ISIs","Composite_HFS_Regime_ID","Boundary_Definition","Phenotype_Evidence_ID","Phenotype_Label","Phenotype_Evidence_Score","Phenotype_Evaluation_Eligibility","Sample_ID","Scale_Factor","B_s","Split","Latent_Start_s","Latent_End_s","Latent_Duration_s","Realized_Start_s","Realized_End_s","Realized_Duration_s"
"TPL_001","TPL_001_EVENT_001","TPL_001_RUN_002","none","Pause","canonical","canonical","none",,,,12.8257610398382,15.9670527160205,3.1412916761823,13,14,2,1,,,FALSE,FALSE,"none",,"none",FALSE,0,0,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0015",1,0.1,"development",,,,1.28257610398382,1.59670527160205,0.31412916761823
"TPL_001","TPL_001_EVENT_002","TPL_001_RUN_005","none","Pause","complex_multi_gap","complex_multi_gap","none",,,,23.418889242705,28.6735463044755,5.25465706177056,30,32,3,2,,,FALSE,FALSE,"none",,"none",FALSE,0,0,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0015",1,0.1,"development",,,,2.3418889242705,2.86735463044755,0.525465706177056
"TPL_001","TPL_001_EVENT_003","TPL_001_RUN_006","none","Burst","none","standalone_burst","TPL_001_PULSE_001",31.3033173917476,32.0471790575168,0.743861665769131,31.4356865764681,32.0471790575168,0.611492481048682,37,40,4,3,3.05285792155489,2.88903102949262,FALSE,TRUE,"weak",4,"BQ_001",TRUE,5,0,"none","first_to_last_pulse_exposed_spike","PHENO_0001","clear_burst_like",2.50534783694703,"eligible","S0015",1,0.1,"development",3.13033173917476,3.20471790575168,0.0743861665769131,3.14356865764681,3.20471790575168,0.0611492481048682
"TPL_001","TPL_001_EVENT_004","TPL_001_RUN_008","none","Burst","none","standalone_burst","TPL_001_PULSE_002",32.6704756078963,33.45350662078,0.783031012883704,32.6704756078963,33.3696291170062,0.69915350910992,41,46,6,5,4.23015429372413,3.74765297677368,FALSE,TRUE,"moderate",6,"BQ_002",FALSE,0,6,"none","first_to_last_pulse_exposed_spike","PHENO_0002","clear_burst_like",3.15974359012862,"eligible","S0015",1,0.1,"development",3.26704756078963,3.345350662078,0.0783031012883704,3.26704756078963,3.33696291170062,0.069915350910992
"TPL_001","TPL_001_EVENT_005","TPL_001_RUN_009","none","Burst","none","standalone_burst","TPL_001_PULSE_003",38.8313727362422,39.7313727362422,0.900000000000006,38.8540630535119,39.6641866719618,0.810123618449907,55,61,7,6,5.58352512585138,5.00231299572624,FALSE,FALSE,"strong",7,"BQ_003",FALSE,3,3,"none","first_to_last_pulse_exposed_spike","PHENO_0003","clear_burst_like",4.79114678549348,"eligible","S0015",1,0.1,"development",3.88313727362422,3.97313727362422,0.0900000000000006,3.88540630535119,3.96641866719618,0.0810123618449907
"TPL_001","TPL_001_EVENT_006","TPL_001_RUN_013","TPL_001_STATE_004","Burst","none","burst_in_hfs","TPL_001_PULSE_004",54.4841408414889,55.1944671912156,0.710326349726692,54.4900157145063,55.1080732309628,0.618057516456517,96,102,7,6,2.76803778011067,2.45703908726573,FALSE,FALSE,"weak",7,"BQ_061",FALSE,8,15,"none","first_to_last_pulse_exposed_spike","PHENO_0004","clear_burst_like",3.23990925123614,"eligible","S0015",1,0.1,"development",5.44841408414889,5.51944671912156,0.0710326349726692,5.44900157145063,5.51080732309628,0.0618057516456517
"TPL_001","TPL_001_EVENT_007","TPL_001_RUN_014","none","Pause","canonical","canonical","none",,,,59.0914650309211,62.628301259953,3.53683622903191,117,118,2,1,,,FALSE,FALSE,"none",,"none",FALSE,0,0,"TPL_001_REGIME_01","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0015",1,0.1,"development",,,,5.90914650309211,6.2628301259953,0.353683622903191
"TPL_001","TPL_001_EVENT_008","TPL_001_RUN_015","TPL_001_STATE_005","Burst","none","burst_in_hfs","TPL_001_PULSE_005",67.1097068514965,67.9736432284639,0.863936376967402,67.160719408907,67.8917296950478,0.731010286140773,129,136,8,7,3.75150175740686,3.2499472538475,FALSE,FALSE,"moderate",8,"BQ_062",FALSE,11,16,"none","first_to_last_pulse_exposed_spike","PHENO_0005","clear_burst_like",4.12289342041,"eligible","S0015",1,0.1,"development",6.71097068514965,6.79736432284639,0.0863936376967402,6.7160719408907,6.78917296950478,0.0731010286140773
"TPL_001","TPL_001_EVENT_001","TPL_001_RUN_002","none","Pause","canonical","canonical","none",,,,12.8257610398382,15.9670527160205,3.1412916761823,13,14,2,1,,,FALSE,FALSE,"none",,"none",FALSE,0,0,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0056",4,0.4,"development",,,,5.13030441593528,6.3868210864082,1.25651667047292
"TPL_001","TPL_001_EVENT_002","TPL_001_RUN_005","none","Pause","complex_multi_gap","complex_multi_gap","none",,,,23.418889242705,28.6735463044755,5.25465706177056,30,32,3,2,,,FALSE,FALSE,"none",,"none",FALSE,0,0,"none","observed_first_to_last_pause_boundary_spike","none","not_applicable",,"not_applicable","S0056",4,0.4,"development",,,,9.36755569708199,11.4694185217902,2.10186282470822
