"Template_ID","State_Envelope_ID","Tonic_Subtype","Tonic_Intended_Stratum","Tonic_Phenotype_Evidence_Score","Tonic_Phenotype","Eligibility_Reason","N_ISIs","Duration_u","Median_ISI_u","Local_Left_Median_ISI_u","Local_Right_Median_ISI_u","Left_Log_Rate_Contrast","Right_Log_Rate_Contrast","CV","CV2","LV","Stability_Subscore","Duration_Subscore","Local_Separation_Subscore","Subtype_Band_Subscore","Detector_Output_Used","Sample_ID","Scale_Factor","B_s","Split","Duration_s","Median_ISI_s","Local_Left_Median_ISI_s","Local_Right_Median_ISI_s"
"TPL_001","TPL_001_STATE_001","generic_stress","eligible",0.710593942501275,"eligible","pre_frozen_timestamp_evidence_contract_met",14,11.8933117726839,0.803911896971838,,0.521483615524926,,0.432811826323604,0.189176629587034,0.217835991177462,0.0503352156711561,0.736351387571992,0.8,0.472352072620382,0.80791486474201,FALSE,"S0015",1,0.1,"development",1.18933117726839,0.0803911896971838,,0.0521483615524926
"TPL_001","TPL_001_STATE_002","stn_like_empirical","eligible",0.94615937215323,"eligible","pre_frozen_timestamp_evidence_contract_met",16,6.83328288939545,0.42951967880974,0.111671126941369,2.06692423857749,1.34710937320741,1.57114934784375,0.0954584296329728,0.12469889569981,0.0159962800855511,0.866349158282451,1,1,0.998098544201247,FALSE,"S0015",1,0.1,"development",0.683328288939545,0.042951967880974,0.0111671126941369,0.206692423857749
"TPL_001","TPL_001_STATE_001","generic_stress","eligible",0.710593942501275,"eligible","pre_frozen_timestamp_evidence_contract_met",14,11.8933117726839,0.803911896971838,,0.521483615524926,,0.432811826323604,0.189176629587034,0.217835991177462,0.0503352156711561,0.736351387571992,0.8,0.472352072620382,0.80791486474201,FALSE,"S0056",4,0.4,"development",4.75732470907355,0.321564758788735,,0.20859344620997
"TPL_001","TPL_001_STATE_002","stn_like_empirical","eligible",0.94615937215323,"eligible","pre_frozen_timestamp_evidence_contract_met",16,6.83328288939545,0.42951967880974,0.111671126941369,2.06692423857749,1.34710937320741,1.57114934784375,0.0954584296329728,0.12469889569981,0.0159962800855511,0.866349158282451,1,1,0.998098544201247,FALSE,"S0056",4,0.4,"development",2.73331315575818,0.171807871523896,0.0446684507765476,0.826769695430994
"TPL_001","TPL_001_STATE_001","generic_stress","eligible",0.710593942501275,"eligible","pre_frozen_timestamp_evidence_contract_met",14,11.8933117726839,0.803911896971838,,0.521483615524926,,0.432811826323604,0.189176629587034,0.217835991177462,0.0503352156711561,0.736351387571992,0.8,0.472352072620382,0.80791486474201,FALSE,"S0007",10,1,"development",11.8933117726839,0.803911896971838,,0.521483615524926
"TPL_001","TPL_001_STATE_002","stn_like_empirical","eligible",0.94615937215323,"eligible","pre_frozen_timestamp_evidence_contract_met",16,6.83328288939545,0.42951967880974,0.111671126941369,2.06692423857749,1.34710937320741,1.57114934784375,0.0954584296329728,0.12469889569981,0.0159962800855511,0.866349158282451,1,1,0.998098544201247,FALSE,"S0007",10,1,"development",6.83328288939545,0.42951967880974,0.111671126941369,2.06692423857749
"TPL_002","TPL_002_STATE_004","stn_like_empirical","eligible",0.696978098263856,"eligible","pre_frozen_timestamp_evidence_contract_met",11,4.61131288598659,0.403940373806826,0.309865105084619,0.327225269086916,0.265130219593817,0.210618447474283,0.0762765171536837,0.0654090991048621,0.00594742970873216,0.915823176551613,0.5,0.259605740033524,0.893638398182531,FALSE,"S0030",1,0.1,"development",0.461131288598659,0.0403940373806826,0.0309865105084619,0.0327225269086916
"TPL_002","TPL_002_STATE_005","generic_stress","eligible",0.872906875828642,"eligible","pre_frozen_timestamp_evidence_contract_met",17,15.2618588493149,0.923846551791742,0.197133776289228,,1.54466342262714,,0.194628482509664,0.249501574782949,0.0669345141293446,0.704512696826527,1,1,0.955508985490158,FALSE,"S0030",1,0.1,"development",1.52618588493149,0.0923846551791742,0.0197133776289228,
"TPL_002","TPL_002_STATE_004","stn_like_empirical","eligible",0.696978098263856,"eligible","pre_frozen_timestamp_evidence_contract_met",11,4.61131288598659,0.403940373806826,0.309865105084619,0.327225269086916,0.265130219593817,0.210618447474283,0.0762765171536837,0.0654090991048621,0.00594742970873216,0.915823176551613,0.5,0.259605740033524,0.893638398182531,FALSE,"S0006",4,0.4,"development",1.84452515439464,0.16157614952273,0.123946042033847,0.130890107634766
"TPL_002","TPL_002_STATE_005","generic_stress","eligible",0.872906875828642,"eligible","pre_frozen_timestamp_evidence_contract_met",17,15.2618588493149,0.923846551791742,0.197133776289228,,1.54466342262714,,0.194628482509664,0.249501574782949,0.0669345141293446,0.704512696826527,1,1,0.955508985490158,FALSE,"S0006",4,0.4,"development",6.10474353972596,0.369538620716697,0.0788535105156912,
"TPL_002","TPL_002_STATE_004","stn_like_empirical","eligible",0.696978098263856,"eligible","pre_frozen_timestamp_evidence_contract_met",11,4.61131288598659,0.403940373806826,0.309865105084619,0.327225269086916,0.265130219593817,0.210618447474283,0.0762765171536837,0.0654090991048621,0.00594742970873216,0.915823176551613,0.5,0.259605740033524,0.893638398182531,FALSE,"S0044",10,1,"development",4.61131288598659,0.403940373806826,0.309865105084619,0.327225269086916
"TPL_002","TPL_002_STATE_005","generic_stress","eligible",0.872906875828642,"eligible","pre_frozen_timestamp_evidence_contract_met",17,15.2618588493149,0.923846551791742,0.197133776289228,,1.54466342262714,,0.194628482509664,0.249501574782949,0.0669345141293446,0.704512696826527,1,1,0.955508985490158,FALSE,"S0044",10,1,"development",15.2618588493149,0.923846551791742,0.197133776289228,
"TPL_003","TPL_003_STATE_003","generic_stress","eligible",0.807475061431629,"eligible","pre_frozen_timestamp_evidence_contract_met",13,11.1513690960104,0.825625811566197,0.276435738550197,0.112692869246385,1.09416327460381,1.9914755111971,0.233131653610148,0.177465773440724,0.0346156861135627,0.742058750804152,0.7,1,0.85325780554984,FALSE,"S0058",1,0.1,"development",1.11513690960104,0.0825625811566197,0.0276435738550197,0.0112692869246385
"TPL_003","TPL_003_STATE_005","stn_like_empirical","eligible",0.778821901769313,"eligible","pre_frozen_timestamp_evidence_contract_met",12,4.28864554298689,0.366163498500144,0.183367603415155,2.49721557199955,0.69158705105782,1.9198516680856,0.125737203859942,0.126853651960354,0.0184626414746475,0.845066448450853,0.6,0.87738406981552,0.72659254212934,FALSE,"S0058",1,0.1,"development",0.428864554298689,0.0366163498500144,0.0183367603415155,0.249721557199955
"TPL_003","TPL_003_STATE_003","generic_stress","eligible",0.807475061431629,"eligible","pre_frozen_timestamp_evidence_contract_met",13,11.1513690960104,0.825625811566197,0.276435738550197,0.112692869246385,1.09416327460381,1.9914755111971,0.233131653610148,0.177465773440724,0.0346156861135627,0.742058750804152,0.7,1,0.85325780554984,FALSE,"S0049",4,0.4,"development",4.46054763840418,0.330250324626479,0.110574295420079,0.0450771476985539
"TPL_003","TPL_003_STATE_005","stn_like_empirical","eligible",0.778821901769313,"eligible","pre_frozen_timestamp_evidence_contract_met",12,4.28864554298689,0.366163498500144,0.183367603415155,2.49721557199955,0.69158705105782,1.9198516680856,0.125737203859942,0.126853651960354,0.0184626414746475,0.845066448450853,0.6,0.87738406981552,0.72659254212934,FALSE,"S0049",4,0.4,"development",1.71545821719476,0.146465399400058,0.073347041366062,0.99888622879982
"TPL_003","TPL_003_STATE_003","generic_stress","eligible",0.807475061431629,"eligible","pre_frozen_timestamp_evidence_contract_met",13,11.1513690960104,0.825625811566197,0.276435738550197,0.112692869246385,1.09416327460381,1.9914755111971,0.233131653610148,0.177465773440724,0.0346156861135627,0.742058750804152,0.7,1,0.85325780554984,FALSE,"S0040",10,1,"development",11.1513690960104,0.825625811566197,0.276435738550197,0.112692869246385
"TPL_003","TPL_003_STATE_005","stn_like_empirical","eligible",0.778821901769313,"eligible","pre_frozen_timestamp_evidence_contract_met",12,4.28864554298689,0.366163498500144,0.183367603415155,2.49721557199955,0.69158705105782,1.9198516680856,0.125737203859942,0.126853651960354,0.0184626414746475,0.845066448450853,0.6,0.87738406981552,0.72659254212934,FALSE,"S0040",10,1,"development",4.28864554298689,0.366163498500144,0.183367603415155,2.49721557199955
