"Template_ID","Contextual_Separator_ID","Run_ID","Secondary_Label","Primary_Event_Label","Start_u","End_u","Duration_u","N_ISIs","N_Boundary_Spikes","Sample_ID","Scale_Factor","B_s","Split","Start_s","End_s","Duration_s"
"TPL_001","TPL_001_SEPARATOR_001","TPL_001_RUN_005","Contextual_Separator","none",18.0571513647342,18.619507071622,0.562355706887834,1,2,"S0015",1,0.1,"development",1.80571513647342,1.8619507071622,0.0562355706887834
"TPL_001","TPL_001_SEPARATOR_001","TPL_001_RUN_005","Contextual_Separator","none",18.0571513647342,18.619507071622,0.562355706887834,1,2,"S0056",4,0.4,"development",7.22286054589366,7.44780282864879,0.224942282755133
"TPL_001","TPL_001_SEPARATOR_001","TPL_001_RUN_005","Contextual_Separator","none",18.0571513647342,18.619507071622,0.562355706887834,1,2,"S0007",10,1,"development",18.0571513647342,18.619507071622,0.562355706887834
"TPL_002","TPL_002_SEPARATOR_001","TPL_002_RUN_012","Contextual_Separator","none",33.9432923620078,34.5681296938542,0.624837331846356,1,2,"S0030",1,0.1,"development",3.39432923620078,3.45681296938542,0.0624837331846356
"TPL_002","TPL_002_SEPARATOR_001","TPL_002_RUN_012","Contextual_Separator","none",33.9432923620078,34.5681296938542,0.624837331846356,1,2,"S0006",4,0.4,"development",13.5773169448031,13.8272518775417,0.249934932738543
"TPL_002","TPL_002_SEPARATOR_001","TPL_002_RUN_012","Contextual_Separator","none",33.9432923620078,34.5681296938542,0.624837331846356,1,2,"S0044",10,1,"development",33.9432923620078,34.5681296938542,0.624837331846356
"TPL_003","TPL_003_SEPARATOR_001","TPL_003_RUN_007","Contextual_Separator","none",34.4226938060894,35.0309840098438,0.608290203754321,1,2,"S0058",1,0.1,"development",3.44226938060894,3.50309840098438,0.0608290203754321
"TPL_003","TPL_003_SEPARATOR_001","TPL_003_RUN_007","Contextual_Separator","none",34.4226938060894,35.0309840098438,0.608290203754321,1,2,"S0049",4,0.4,"development",13.7690775224358,14.0123936039375,0.243316081501728
"TPL_003","TPL_003_SEPARATOR_001","TPL_003_RUN_007","Contextual_Separator","none",34.4226938060894,35.0309840098438,0.608290203754321,1,2,"S0040",10,1,"development",34.4226938060894,35.0309840098438,0.608290203754321
"TPL_004","TPL_004_SEPARATOR_001","TPL_004_RUN_008","Contextual_Separator","none",25.6417785721609,26.1615497471542,0.519771174993366,1,2,"S0011",1,0.1,"development",2.56417785721609,2.61615497471542,0.0519771174993366
