"Template_ID","Transition_ID","Boundary_u","Left_Run_ID","Right_Run_ID","Left_Descriptor","Right_Descriptor","Direct_Target_Boundary","Transition_Type","Sample_ID","Scale_Factor","B_s","Split","Boundary_s"
"TPL_001","TPL_001_TRANS_001",11.8933117726839,"TPL_001_RUN_001","TPL_001_RUN_002","Tonic:generic_stress","Pause:canonical",TRUE,"Tonic:generic_stress -> Pause:canonical","S0015",1,0.1,"development",1.18933117726839
"TPL_001","TPL_001_TRANS_002",16.731096522745,"TPL_001_RUN_002","TPL_001_RUN_003","Pause:canonical","Background",FALSE,"Pause:canonical -> Background","S0015",1,0.1,"development",1.6731096522745
"TPL_001","TPL_001_TRANS_003",17.6424763036408,"TPL_001_RUN_003","TPL_001_RUN_004","Background","Burst",FALSE,"Background -> Burst","S0015",1,0.1,"development",1.76424763036408
"TPL_001","TPL_001_TRANS_004",18.0571513647342,"TPL_001_RUN_004","TPL_001_RUN_005","Burst","Contextual_Separator",TRUE,"Burst -> Contextual_Separator","S0015",1,0.1,"development",1.80571513647342
"TPL_001","TPL_001_TRANS_005",18.619507071622,"TPL_001_RUN_005","TPL_001_RUN_006","Contextual_Separator","Burst",TRUE,"Contextual_Separator -> Burst","S0015",1,0.1,"development",1.8619507071622
"TPL_001","TPL_001_TRANS_006",19.0748320227762,"TPL_001_RUN_006","TPL_001_RUN_007","Burst","Tonic:stn_like_empirical",TRUE,"Burst -> Tonic:stn_like_empirical","S0015",1,0.1,"development",1.90748320227762
"TPL_001","TPL_001_TRANS_007",25.9081149121717,"TPL_001_RUN_007","TPL_001_RUN_008","Tonic:stn_like_empirical","Pause:complex_multi_gap",TRUE,"Tonic:stn_like_empirical -> Pause:complex_multi_gap","S0015",1,0.1,"development",2.59081149121717
"TPL_001","TPL_001_TRANS_008",32.3424937257514,"TPL_001_RUN_008","TPL_001_RUN_009","Pause:complex_multi_gap","Burst",TRUE,"Pause:complex_multi_gap -> Burst","S0015",1,0.1,"development",3.23424937257514
"TPL_001","TPL_001_TRANS_009",32.8102865536165,"TPL_001_RUN_009","TPL_001_RUN_010","Burst","Broad_HFS",TRUE,"Burst -> Broad_HFS","S0015",1,0.1,"development",3.28102865536165
"TPL_001","TPL_001_TRANS_010",37.021832241739,"TPL_001_RUN_010","TPL_001_RUN_011","Broad_HFS","Background",FALSE,"Broad_HFS -> Background","S0015",1,0.1,"development",3.7021832241739
"TPL_001","TPL_001_TRANS_011",39.5385751659494,"TPL_001_RUN_011","TPL_001_RUN_012","Background","Burst",FALSE,"Background -> Burst","S0015",1,0.1,"development",3.95385751659494
"TPL_001","TPL_001_TRANS_012",45.6157773277303,"TPL_001_RUN_012","TPL_001_RUN_013","Burst","Pause:canonical",TRUE,"Burst -> Pause:canonical","S0015",1,0.1,"development",4.56157773277303
"TPL_001","TPL_001_TRANS_013",49.0092463815165,"TPL_001_RUN_013","TPL_001_RUN_014","Pause:canonical","Burst",TRUE,"Pause:canonical -> Burst","S0015",1,0.1,"development",4.90092463815165
"TPL_001","TPL_001_TRANS_001",11.8933117726839,"TPL_001_RUN_001","TPL_001_RUN_002","Tonic:generic_stress","Pause:canonical",TRUE,"Tonic:generic_stress -> Pause:canonical","S0056",4,0.4,"development",4.75732470907355
"TPL_001","TPL_001_TRANS_002",16.731096522745,"TPL_001_RUN_002","TPL_001_RUN_003","Pause:canonical","Background",FALSE,"Pause:canonical -> Background","S0056",4,0.4,"development",6.69243860909799
"TPL_001","TPL_001_TRANS_003",17.6424763036408,"TPL_001_RUN_003","TPL_001_RUN_004","Background","Burst",FALSE,"Background -> Burst","S0056",4,0.4,"development",7.05699052145633
"TPL_001","TPL_001_TRANS_004",18.0571513647342,"TPL_001_RUN_004","TPL_001_RUN_005","Burst","Contextual_Separator",TRUE,"Burst -> Contextual_Separator","S0056",4,0.4,"development",7.22286054589366
"TPL_001","TPL_001_TRANS_005",18.619507071622,"TPL_001_RUN_005","TPL_001_RUN_006","Contextual_Separator","Burst",TRUE,"Contextual_Separator -> Burst","S0056",4,0.4,"development",7.44780282864879
"TPL_001","TPL_001_TRANS_006",19.0748320227762,"TPL_001_RUN_006","TPL_001_RUN_007","Burst","Tonic:stn_like_empirical",TRUE,"Burst -> Tonic:stn_like_empirical","S0056",4,0.4,"development",7.62993280911049
"TPL_001","TPL_001_TRANS_007",25.9081149121717,"TPL_001_RUN_007","TPL_001_RUN_008","Tonic:stn_like_empirical","Pause:complex_multi_gap",TRUE,"Tonic:stn_like_empirical -> Pause:complex_multi_gap","S0056",4,0.4,"development",10.3632459648687
"TPL_001","TPL_001_TRANS_008",32.3424937257514,"TPL_001_RUN_008","TPL_001_RUN_009","Pause:complex_multi_gap","Burst",TRUE,"Pause:complex_multi_gap -> Burst","S0056",4,0.4,"development",12.9369974903005
"TPL_001","TPL_001_TRANS_009",32.8102865536165,"TPL_001_RUN_009","TPL_001_RUN_010","Burst","Broad_HFS",TRUE,"Burst -> Broad_HFS","S0056",4,0.4,"development",13.1241146214466
"TPL_001","TPL_001_TRANS_010",37.021832241739,"TPL_001_RUN_010","TPL_001_RUN_011","Broad_HFS","Background",FALSE,"Broad_HFS -> Background","S0056",4,0.4,"development",14.8087328966956
"TPL_001","TPL_001_TRANS_011",39.5385751659494,"TPL_001_RUN_011","TPL_001_RUN_012","Background","Burst",FALSE,"Background -> Burst","S0056",4,0.4,"development",15.8154300663798
"TPL_001","TPL_001_TRANS_012",45.6157773277303,"TPL_001_RUN_012","TPL_001_RUN_013","Burst","Pause:canonical",TRUE,"Burst -> Pause:canonical","S0056",4,0.4,"development",18.2463109310921
"TPL_001","TPL_001_TRANS_013",49.0092463815165,"TPL_001_RUN_013","TPL_001_RUN_014","Pause:canonical","Burst",TRUE,"Pause:canonical -> Burst","S0056",4,0.4,"development",19.6036985526066
"TPL_001","TPL_001_TRANS_001",11.8933117726839,"TPL_001_RUN_001","TPL_001_RUN_002","Tonic:generic_stress","Pause:canonical",TRUE,"Tonic:generic_stress -> Pause:canonical","S0007",10,1,"development",11.8933117726839
"TPL_001","TPL_001_TRANS_002",16.731096522745,"TPL_001_RUN_002","TPL_001_RUN_003","Pause:canonical","Background",FALSE,"Pause:canonical -> Background","S0007",10,1,"development",16.731096522745
"TPL_001","TPL_001_TRANS_003",17.6424763036408,"TPL_001_RUN_003","TPL_001_RUN_004","Background","Burst",FALSE,"Background -> Burst","S0007",10,1,"development",17.6424763036408
"TPL_001","TPL_001_TRANS_004",18.0571513647342,"TPL_001_RUN_004","TPL_001_RUN_005","Burst","Contextual_Separator",TRUE,"Burst -> Contextual_Separator","S0007",10,1,"development",18.0571513647342
"TPL_001","TPL_001_TRANS_005",18.619507071622,"TPL_001_RUN_005","TPL_001_RUN_006","Contextual_Separator","Burst",TRUE,"Contextual_Separator -> Burst","S0007",10,1,"development",18.619507071622
"TPL_001","TPL_001_TRANS_006",19.0748320227762,"TPL_001_RUN_006","TPL_001_RUN_007","Burst","Tonic:stn_like_empirical",TRUE,"Burst -> Tonic:stn_like_empirical","S0007",10,1,"development",19.0748320227762
"TPL_001","TPL_001_TRANS_007",25.9081149121717,"TPL_001_RUN_007","TPL_001_RUN_008","Tonic:stn_like_empirical","Pause:complex_multi_gap",TRUE,"Tonic:stn_like_empirical -> Pause:complex_multi_gap","S0007",10,1,"development",25.9081149121717
"TPL_001","TPL_001_TRANS_008",32.3424937257514,"TPL_001_RUN_008","TPL_001_RUN_009","Pause:complex_multi_gap","Burst",TRUE,"Pause:complex_multi_gap -> Burst","S0007",10,1,"development",32.3424937257514
"TPL_001","TPL_001_TRANS_009",32.8102865536165,"TPL_001_RUN_009","TPL_001_RUN_010","Burst","Broad_HFS",TRUE,"Burst -> Broad_HFS","S0007",10,1,"development",32.8102865536165
"TPL_001","TPL_001_TRANS_010",37.021832241739,"TPL_001_RUN_010","TPL_001_RUN_011","Broad_HFS","Background",FALSE,"Broad_HFS -> Background","S0007",10,1,"development",37.021832241739
