"Template_ID","Composite_HFS_Regime_ID","Left_State_Envelope_ID","Canonical_Pause_Event_ID","Right_State_Envelope_ID","Start_u","End_u","Relationship","Continuous_HFS_State","Sample_ID","Scale_Factor","B_s","Split","Start_s","End_s"
"TPL_001","TPL_001_REGIME_01","TPL_001_STATE_004","TPL_001_EVENT_007","TPL_001_STATE_005",39.5385751659494,55.4215189590178,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0015",1,0.1,"development",3.95385751659494,5.54215189590178
"TPL_001","TPL_001_REGIME_01","TPL_001_STATE_004","TPL_001_EVENT_007","TPL_001_STATE_005",39.5385751659494,55.4215189590178,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0056",4,0.4,"development",15.8154300663798,22.1686075836071
"TPL_001","TPL_001_REGIME_01","TPL_001_STATE_004","TPL_001_EVENT_007","TPL_001_STATE_005",39.5385751659494,55.4215189590178,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0007",10,1,"development",39.5385751659494,55.4215189590178
"TPL_003","TPL_003_REGIME_01","TPL_003_STATE_001","TPL_003_EVENT_002","TPL_003_STATE_002",0,19.6772632868459,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0058",1,0.1,"development",0,1.96772632868459
"TPL_003","TPL_003_REGIME_01","TPL_003_STATE_001","TPL_003_EVENT_002","TPL_003_STATE_002",0,19.6772632868459,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0049",4,0.4,"development",0,7.87090531473836
"TPL_003","TPL_003_REGIME_01","TPL_003_STATE_001","TPL_003_EVENT_002","TPL_003_STATE_002",0,19.6772632868459,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0040",10,1,"development",0,19.6772632868459
"TPL_006","TPL_006_REGIME_01","TPL_006_STATE_002","TPL_006_EVENT_003","TPL_006_STATE_003",16.5182538495004,35.1196330799596,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0045",1,0.1,"holdout",1.65182538495004,3.51196330799596
"TPL_006","TPL_006_REGIME_01","TPL_006_STATE_002","TPL_006_EVENT_003","TPL_006_STATE_003",16.5182538495004,35.1196330799596,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0035",4,0.4,"holdout",6.60730153980017,14.0478532319838
"TPL_006","TPL_006_REGIME_01","TPL_006_STATE_002","TPL_006_EVENT_003","TPL_006_STATE_003",16.5182538495004,35.1196330799596,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0004",10,1,"holdout",16.5182538495004,35.1196330799596
"TPL_008","TPL_008_REGIME_01","TPL_008_STATE_004","TPL_008_EVENT_007","TPL_008_STATE_005",37.9498893318267,54.7855123012692,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0026",1,0.1,"holdout",3.79498893318267,5.47855123012692
"TPL_008","TPL_008_REGIME_01","TPL_008_STATE_004","TPL_008_EVENT_007","TPL_008_STATE_005",37.9498893318267,54.7855123012692,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0001",4,0.4,"holdout",15.1799557327307,21.9142049205077
"TPL_008","TPL_008_REGIME_01","TPL_008_STATE_004","TPL_008_EVENT_007","TPL_008_STATE_005",37.9498893318267,54.7855123012692,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0054",10,1,"holdout",37.9498893318267,54.7855123012692
"TPL_010","TPL_010_REGIME_01","TPL_010_STATE_004","TPL_010_EVENT_007","TPL_010_STATE_005",45.3495759095543,62.5336348162244,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0036",1,0.1,"holdout",4.53495759095543,6.25336348162245
"TPL_010","TPL_010_REGIME_01","TPL_010_STATE_004","TPL_010_EVENT_007","TPL_010_STATE_005",45.3495759095543,62.5336348162244,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0027",4,0.4,"holdout",18.1398303638217,25.0134539264898
"TPL_010","TPL_010_REGIME_01","TPL_010_STATE_004","TPL_010_EVENT_007","TPL_010_STATE_005",45.3495759095543,62.5336348162244,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0002",10,1,"holdout",45.3495759095543,62.5336348162244
"TPL_012","TPL_012_REGIME_01","TPL_012_STATE_004","TPL_012_EVENT_005","TPL_012_STATE_005",35.1623795606538,50.7786831261083,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0016",1,0.1,"holdout",3.51623795606538,5.07786831261083
"TPL_012","TPL_012_REGIME_01","TPL_012_STATE_004","TPL_012_EVENT_005","TPL_012_STATE_005",35.1623795606538,50.7786831261083,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0031",4,0.4,"holdout",14.0649518242615,20.3114732504433
"TPL_012","TPL_012_REGIME_01","TPL_012_STATE_004","TPL_012_EVENT_005","TPL_012_STATE_005",35.1623795606538,50.7786831261083,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0057",10,1,"holdout",35.1623795606538,50.7786831261083
"TPL_014","TPL_014_REGIME_01","TPL_014_STATE_001","TPL_014_EVENT_002","TPL_014_STATE_002",0,16.0871843279651,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0033",1,0.1,"holdout",0,1.60871843279651
"TPL_014","TPL_014_REGIME_01","TPL_014_STATE_001","TPL_014_EVENT_002","TPL_014_STATE_002",0,16.0871843279651,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0051",4,0.4,"holdout",0,6.43487373118604
"TPL_014","TPL_014_REGIME_01","TPL_014_STATE_001","TPL_014_EVENT_002","TPL_014_STATE_002",0,16.0871843279651,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0019",10,1,"holdout",0,16.0871843279651
"TPL_016","TPL_016_REGIME_01","TPL_016_STATE_003","TPL_016_EVENT_006","TPL_016_STATE_004",14.940953501598,35.9245453587153,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0010",1,0.1,"holdout",1.4940953501598,3.59245453587153
"TPL_016","TPL_016_REGIME_01","TPL_016_STATE_003","TPL_016_EVENT_006","TPL_016_STATE_004",14.940953501598,35.9245453587153,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0024",4,0.4,"holdout",5.97638140063921,14.3698181434861
"TPL_016","TPL_016_REGIME_01","TPL_016_STATE_003","TPL_016_EVENT_006","TPL_016_STATE_004",14.940953501598,35.9245453587153,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0060",10,1,"holdout",14.940953501598,35.9245453587153
"TPL_018","TPL_018_REGIME_01","TPL_018_STATE_003","TPL_018_EVENT_006","TPL_018_STATE_004",20.1912024263068,35.8188421263809,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0023",1,0.1,"holdout",2.01912024263068,3.58188421263809
"TPL_018","TPL_018_REGIME_01","TPL_018_STATE_003","TPL_018_EVENT_006","TPL_018_STATE_004",20.1912024263068,35.8188421263809,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0017",4,0.4,"holdout",8.07648097052271,14.3275368505524
"TPL_018","TPL_018_REGIME_01","TPL_018_STATE_003","TPL_018_EVENT_006","TPL_018_STATE_004",20.1912024263068,35.8188421263809,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0032",10,1,"holdout",20.1912024263068,35.8188421263809
"TPL_020","TPL_020_REGIME_01","TPL_020_STATE_004","TPL_020_EVENT_007","TPL_020_STATE_005",23.4935190557834,40.4204263956155,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0021",1,0.1,"holdout",2.34935190557834,4.04204263956155
"TPL_020","TPL_020_REGIME_01","TPL_020_STATE_004","TPL_020_EVENT_007","TPL_020_STATE_005",23.4935190557834,40.4204263956155,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0020",4,0.4,"holdout",9.39740762231335,16.1681705582462
"TPL_020","TPL_020_REGIME_01","TPL_020_STATE_004","TPL_020_EVENT_007","TPL_020_STATE_005",23.4935190557834,40.4204263956155,"HFS_State--canonical_Pause--HFS_State",FALSE,"S0003",10,1,"holdout",23.4935190557834,40.4204263956155
