"Template_ID","Contextual_Separator_ID","Start_u","End_u","Duration_u","Sample_ID","Scale_Factor","B_s","Workbook_Batch","Split","Template_Duration_u","Recording_Duration_s","Start_s","End_s","Duration_s"
"TPL_001","TPL_001_SEPARATOR_001",32.0471790575168,32.6704756078963,0.623296550379503,"S0015",1,0.1,"Batch_C","development",73.7933070268073,7.37933070268073,3.20471790575168,3.26704756078963,0.0623296550379503
"TPL_001","TPL_001_SEPARATOR_001",32.0471790575168,32.6704756078963,0.623296550379503,"S0056",4,0.4,"Batch_A","development",73.7933070268073,29.5173228107229,12.8188716230067,13.0681902431585,0.249318620151801
"TPL_001","TPL_001_SEPARATOR_001",32.0471790575168,32.6704756078963,0.623296550379503,"S0007",10,1,"Batch_B","development",73.7933070268073,73.7933070268073,32.0471790575168,32.6704756078963,0.623296550379503
"TPL_002","TPL_002_SEPARATOR_001",51.9804948037409,52.6053321355872,0.624837331846356,"S0030",1,0.1,"Batch_C","development",70.1331185742627,7.01331185742627,5.19804948037409,5.26053321355872,0.0624837331846356
"TPL_002","TPL_002_SEPARATOR_001",51.9804948037409,52.6053321355872,0.624837331846356,"S0006",4,0.4,"Batch_A","development",70.1331185742627,28.0532474297051,20.7921979214963,21.0421328542349,0.249934932738543
"TPL_002","TPL_002_SEPARATOR_001",51.9804948037409,52.6053321355872,0.624837331846356,"S0044",10,1,"Batch_B","development",70.1331185742627,70.1331185742627,51.9804948037409,52.6053321355872,0.624837331846356
"TPL_003","TPL_003_SEPARATOR_001",26.740273832582,27.3552488342377,0.614975001655649,"S0040",10,1,"Batch_B","development",69.057993639592,69.057993639592,26.740273832582,27.3552488342377,0.614975001655649
"TPL_003","TPL_003_SEPARATOR_001",26.740273832582,27.3552488342377,0.614975001655649,"S0058",1,0.1,"Batch_C","development",69.057993639592,6.9057993639592,2.6740273832582,2.73552488342377,0.0614975001655649
"TPL_003","TPL_003_SEPARATOR_001",26.740273832582,27.3552488342377,0.614975001655649,"S0049",4,0.4,"Batch_A","development",69.057993639592,27.6231974558368,10.6961095330328,10.9420995336951,0.24599000066226
"TPL_004","TPL_004_SEPARATOR_001",34.1567887628129,34.6843432653093,0.527554502496441,"S0011",1,0.1,"Batch_C","development",66.0965873439531,6.60965873439531,3.41567887628129,3.46843432653093,0.0527554502496441
"TPL_004","TPL_004_SEPARATOR_001",34.1567887628129,34.6843432653093,0.527554502496441,"S0014",4,0.4,"Batch_A","development",66.0965873439531,26.4386349375812,13.6627155051252,13.8737373061237,0.211021800998576
"TPL_004","TPL_004_SEPARATOR_001",34.1567887628129,34.6843432653093,0.527554502496441,"S0055",10,1,"Batch_B","development",66.0965873439531,66.0965873439531,34.1567887628129,34.6843432653093,0.527554502496441
"TPL_005","TPL_005_SEPARATOR_001",61.483233324128,62.0178884262343,0.53465510210634,"S0052",4,0.4,"Batch_A","development",65.5726987798982,26.2290795119593,24.5932933296512,24.8071553704937,0.213862040842536
"TPL_005","TPL_005_SEPARATOR_001",61.483233324128,62.0178884262343,0.53465510210634,"S0009",10,1,"Batch_B","development",65.5726987798982,65.5726987798982,61.483233324128,62.0178884262343,0.53465510210634
"TPL_005","TPL_005_SEPARATOR_001",61.483233324128,62.0178884262343,0.53465510210634,"S0028",1,0.1,"Batch_C","development",65.5726987798982,6.55726987798982,6.1483233324128,6.20178884262343,0.053465510210634
