"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test_calibration_frozen_bounded_borrowing.R","calibration_frozen_bounded_borrowing","bounded borrowing contract reads calibration trains only",8,0,FALSE,FALSE,0,0.664,0.005,0.67,8
"test_calibration_frozen_bounded_borrowing.R","calibration_frozen_bounded_borrowing","borrowing is disabled without cross-train manual Burst consensus",3,0,FALSE,FALSE,0,0.016,0.001,0.0169999999999999,3
"test_calibration_frozen_bounded_borrowing.R","calibration_frozen_bounded_borrowing","borrowing creates a bounded candidate proposal without mutating thresholds",10,0,FALSE,FALSE,0,0.302,0.003,0.304,10
"test_calibration_frozen_bounded_borrowing.R","calibration_frozen_bounded_borrowing","canonical Pause and explicit hard thresholds dominate borrowing",5,0,FALSE,FALSE,0,0.0870000000000002,0.002,0.0880000000000001,5
"test_calibration_frozen_bounded_borrowing.R","calibration_frozen_bounded_borrowing","fast-timescale simulation admits only borrowed Burst extension",3,0,FALSE,FALSE,0,0.7,0.00299999999999999,0.703,3
"test_calibration_frozen_bounded_borrowing.R","calibration_frozen_bounded_borrowing","medium-timescale simulation admits only borrowed Burst extension",3,0,FALSE,FALSE,0,0.234,0.002,0.236,3
"test_calibration_frozen_bounded_borrowing.R","calibration_frozen_bounded_borrowing","slow-timescale simulation admits only borrowed Burst extension",3,0,FALSE,FALSE,0,0.222,0.002,0.224,3
"test_calibration_frozen_bounded_borrowing.R","calibration_frozen_bounded_borrowing","candidate-level guard rejects expansion that invades a sustained state",9,0,FALSE,FALSE,0,0.0120000000000005,0.002,0.0140000000000002,9
"test_calibration_frozen_bounded_borrowing.R","calibration_frozen_bounded_borrowing","sustained borrowed support rolls back to its first ISI",4,0,FALSE,FALSE,0,0.00999999999999979,0.002,0.0119999999999996,4
"test_clean_benchmark_burst_reviewer.R","clean_benchmark_burst_reviewer","clean Burst reviewer separates FP, FN, and boundary cases",13,0,FALSE,FALSE,0,0.0250000000000004,0.001,0.0259999999999998,13
"test_clean_benchmark_burst_reviewer.R","clean_benchmark_burst_reviewer","clean Burst reviewer reports exact integer-support IoU",4,0,FALSE,FALSE,0,0.00299999999999923,0.001,0.00400000000000045,4
"test_distributional_evidence.R","distributional_evidence","logISI moments and spike-count PMF are finite for usable trains",6,0,FALSE,FALSE,0,0.0209999999999999,0.002,0.0229999999999997,6
"test_distributional_evidence.R","distributional_evidence","train distribution features provide phenotype scores without changing labels",4,0,FALSE,FALSE,0,0.0359999999999996,0.001,0.0380000000000003,4
"test_distributional_evidence.R","distributional_evidence","event distribution evidence supports compact burst candidates and records audit-final labels",5,0,FALSE,FALSE,0,0.0209999999999999,0.001,0.0219999999999994,5
"test_distributional_evidence.R","distributional_evidence","distributional result attachment stores all public tables without rewriting detector labels",5,0,FALSE,FALSE,0,0.137,0.002,0.138,5
"test_distributional_evidence.R","distributional_evidence","a normal detector run computes distributional evidence only once",2,0,FALSE,FALSE,0,5.176,0.027,5.252,2
"test_event_aligned_plot_i18n.R","event_aligned_plot_i18n","all event-aligned Plotly builders localize visible copy without mutating results",18,0,FALSE,FALSE,0,0.234,0.006,0.24,18
"test_event_aligned_plot_i18n.R","event_aligned_plot_i18n","event-aligned empty states are nonblank and translate known detector messages",4,0,FALSE,FALSE,0,0.0579999999999998,0.002,0.0599999999999987,4
"test_event_aligned_plot_i18n.R","event_aligned_plot_i18n","every event-aligned Plotly builder declares the requested locale",26,0,FALSE,FALSE,0,0.0299999999999994,0.00499999999999998,0.0350000000000001,26
"test_eventness_audit.R","eventness_audit","eventness feature columns are added",1,0,FALSE,FALSE,0,4.966,0.036,5.05,1
"test_eventness_audit.R","eventness_audit","eventness recommendation prioritizes burst-family when eventness is high",2,0,FALSE,FALSE,0,0.0649999999999995,0.002,0.0670000000000002,2
"test_eventness_audit.R","eventness_audit","state recommendation uses low eventness and high regularity",2,0,FALSE,FALSE,0,0.0719999999999992,0.002,0.0740000000000016,2
"test_gate_b_v3_engineering_acceptance_fixes.R","gate_b_v3_engineering_acceptance_fixes","canonical scalars reject negative zero and validate real UTC bounds",15,0,FALSE,FALSE,0,5.997,0.00900000000000001,6.007,15
"test_gate_b_v3_engineering_acceptance_fixes.R","gate_b_v3_engineering_acceptance_fixes","AUTO and FINAL parent-history matrices fail closed after resealing",5,0,FALSE,FALSE,0,5.847,0.00700000000000001,5.855,5
"test_gate_b_v3_engineering_acceptance_fixes.R","gate_b_v3_engineering_acceptance_fixes","label-blind reconstruction never dispatches caller S3 accessors",6,0,FALSE,FALSE,0,4.885,0.00699999999999998,4.892,6
