"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test_anchor_policy_all_modes.R","anchor_policy_all_modes","manual tonic anchors do not become hard boundaries",3,0,FALSE,FALSE,0,0.369,0.004,0.374,3
"test_anchor_policy_all_modes.R","anchor_policy_all_modes","manual pause anchors do not become hard boundaries and cannot create pause alone",4,0,FALSE,FALSE,0,0.191,0.002,0.193,4
"test_anchor_policy_all_modes.R","anchor_policy_all_modes","manual high-frequency anchors support HF candidates without replacing structure",5,0,FALSE,FALSE,0,0.13,0.00299999999999999,0.133,5
"test_anchor_policy_all_modes.R","anchor_policy_all_modes","manual high-frequency labels derive soft anchors",4,0,FALSE,FALSE,0,0.0129999999999999,0.001,0.0149999999999997,4
"test_classic_simulated_patterns.R","classic_simulated_patterns","default AUTO detects classic slow tonic, burst, and relative pause structure",10,0,FALSE,FALSE,0,0.925,0.00900000000000001,0.933,10
"test_classic_simulated_patterns.R","classic_simulated_patterns","compact burst cores can be rescued when local flank contrast is imperfect",3,0,FALSE,FALSE,0,2.087,0.01,2.097,3
"test_classic_simulated_patterns.R","classic_simulated_patterns","AUTO rescues classic low-ISI burst packets with weak seed-band entry",2,0,FALSE,FALSE,0,0.246,0.00399999999999998,0.251,2
"test_classic_simulated_patterns.R","classic_simulated_patterns","AUTO keeps tonic tail ISIs out of pause when they match a regular tonic band",3,0,FALSE,FALSE,0,0.224,0.006,0.229,3
"test_classic_simulated_patterns.R","classic_simulated_patterns","burst episode edge trimming does not block following tonic states",3,0,FALSE,FALSE,0,0.247,0.005,0.252999999999999,3
"test_classic_simulated_patterns.R","classic_simulated_patterns","AUTO preserves stable tonic cores before short transition ISIs",3,0,FALSE,FALSE,0,0.27,0.006,0.275,3
"test_classic_simulated_patterns.R","classic_simulated_patterns","sustained borrowed subranges roll back to the intrusion onset",4,0,FALSE,FALSE,0,0.3,0.005,0.306,4
"test_detection_result_evaluation.R","detection_result_evaluation","standalone evaluation separates event discovery from boundary accuracy",13,0,FALSE,FALSE,0,0.104,0.001,0.106,13
"test_detection_result_evaluation.R","detection_result_evaluation","strict thresholds and exact boundaries are reported independently",5,0,FALSE,FALSE,0,0.0870000000000006,0.001,0.0879999999999992,5
