"Template_ID","Composite_HFS_Regime_ID","Left_State_Envelope_ID","Canonical_Pause_Event_ID","Right_State_Envelope_ID","Start_u","End_u","Relationship","Continuous_HFS_State"
"TPL_001","TPL_001_REGIME_01","TPL_001_STATE_004","TPL_001_EVENT_007","TPL_001_STATE_005",39.5385751659494,55.4215189590178,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_003","TPL_003_REGIME_01","TPL_003_STATE_001","TPL_003_EVENT_002","TPL_003_STATE_002",0,19.6772632868459,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_006","TPL_006_REGIME_01","TPL_006_STATE_002","TPL_006_EVENT_003","TPL_006_STATE_003",16.5182538495004,35.1196330799596,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_008","TPL_008_REGIME_01","TPL_008_STATE_004","TPL_008_EVENT_007","TPL_008_STATE_005",37.9498893318267,54.7855123012692,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_010","TPL_010_REGIME_01","TPL_010_STATE_004","TPL_010_EVENT_007","TPL_010_STATE_005",45.3495759095543,62.5336348162244,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_012","TPL_012_REGIME_01","TPL_012_STATE_004","TPL_012_EVENT_005","TPL_012_STATE_005",35.1623795606538,50.7786831261083,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_014","TPL_014_REGIME_01","TPL_014_STATE_001","TPL_014_EVENT_002","TPL_014_STATE_002",0,16.0871843279651,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_016","TPL_016_REGIME_01","TPL_016_STATE_003","TPL_016_EVENT_006","TPL_016_STATE_004",14.940953501598,35.9245453587153,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_018","TPL_018_REGIME_01","TPL_018_STATE_003","TPL_018_EVENT_006","TPL_018_STATE_004",20.1912024263068,35.8188421263809,"HFS_State--canonical_Pause--HFS_State",FALSE
"TPL_020","TPL_020_REGIME_01","TPL_020_STATE_004","TPL_020_EVENT_007","TPL_020_STATE_005",23.4935190557834,40.4204263956155,"HFS_State--canonical_Pause--HFS_State",FALSE
