"Template_ID","Contextual_Separator_ID","Run_ID","Secondary_Label","Primary_Event_Label","Start_u","End_u","Duration_u","N_ISIs","N_Boundary_Spikes"
"TPL_001","TPL_001_SEPARATOR_001","TPL_001_RUN_005","Contextual_Separator","none",18.0571513647342,18.619507071622,0.562355706887834,1,2
"TPL_002","TPL_002_SEPARATOR_001","TPL_002_RUN_012","Contextual_Separator","none",33.9432923620078,34.5681296938542,0.624837331846356,1,2
"TPL_003","TPL_003_SEPARATOR_001","TPL_003_RUN_007","Contextual_Separator","none",34.4226938060894,35.0309840098438,0.608290203754321,1,2
"TPL_004","TPL_004_SEPARATOR_001","TPL_004_RUN_008","Contextual_Separator","none",25.6417785721609,26.1615497471542,0.519771174993366,1,2
"TPL_005","TPL_005_SEPARATOR_001","TPL_005_RUN_012","Contextual_Separator","none",51.2886562711455,51.7460409886565,0.457384717511013,1,2
"TPL_006","TPL_006_SEPARATOR_001","TPL_006_RUN_011","Contextual_Separator","none",45.4090477490908,45.9175264329294,0.508478683838621,1,2
"TPL_007","TPL_007_SEPARATOR_001","TPL_007_RUN_010","Contextual_Separator","none",28.5489295781626,29.0524196501857,0.503490072023124,1,2
"TPL_008","TPL_008_SEPARATOR_001","TPL_008_RUN_007","Contextual_Separator","none",17.790707050278,18.2767426874164,0.486035637138411,1,2
"TPL_009","TPL_009_SEPARATOR_001","TPL_009_RUN_009","Contextual_Separator","none",31.4183890644169,32.0427743989786,0.624385334561637,1,2
"TPL_010","TPL_010_SEPARATOR_001","TPL_010_RUN_005","Contextual_Separator","none",14.0570683035794,14.5486986560692,0.491630352489869,1,2
"TPL_011","TPL_011_SEPARATOR_001","TPL_011_RUN_012","Contextual_Separator","none",50.5638154814049,51.0804877528484,0.516672271443531,1,2
"TPL_012","TPL_012_SEPARATOR_001","TPL_012_RUN_013","Contextual_Separator","none",52.6470079168816,53.1329629804612,0.485955063579604,1,2
"TPL_013","TPL_013_SEPARATOR_001","TPL_013_RUN_002","Contextual_Separator","none",0.689316184315184,1.27688708385388,0.587570899538696,1,2
"TPL_014","TPL_014_SEPARATOR_001","TPL_014_RUN_014","Contextual_Separator","none",48.2617304438592,48.8426435737272,0.580913129867986,1,2
"TPL_015","TPL_015_SEPARATOR_001","TPL_015_RUN_013","Contextual_Separator","none",38.4923926250809,39.0692060363279,0.576813411246985,1,2
"TPL_016","TPL_016_SEPARATOR_001","TPL_016_RUN_002","Contextual_Separator","none",0.449402560370917,0.991744402966405,0.542341842595488,1,2
"TPL_017","TPL_017_SEPARATOR_001","TPL_017_RUN_003","Contextual_Separator","none",3.34885074072604,3.93144609783863,0.582595357112586,1,2
"TPL_018","TPL_018_SEPARATOR_001","TPL_018_RUN_007","Contextual_Separator","none",18.7337206882789,19.362418274711,0.628697586432099,1,2
"TPL_019","TPL_019_SEPARATOR_001","TPL_019_RUN_008","Contextual_Separator","none",23.134303210656,23.6445173053805,0.510214094724506,1,2
"TPL_020","TPL_020_SEPARATOR_001","TPL_020_RUN_002","Contextual_Separator","none",0.537344407600089,1.08212154580533,0.544777138205245,1,2
