"Template_ID","State_Envelope_ID","Run_ID","State_Label","Tonic_Subtype","Start_u","End_u","Duration_u","N_Boundary_Spikes","N_ISIs","Renewal_Family","Regularity_Regime","Mean_ISI_Parameter_u","Gamma_Shape","Refractory_u","Observed_Mean_ISI_u","CV","CV2","LV","Contains_Injected_Burst","Burst_Strength_Stratum","Tonic_Intended_Stratum","Composite_HFS_Regime_ID","Boundary_Observability","Start_Boundary_Observability","End_Boundary_Observability","Start_Boundary_Contrast","End_Boundary_Contrast","Start_Hard_Cut_Reason","End_Hard_Cut_Reason","Tonic_Phenotype_Evidence_Score","Tonic_Phenotype","Eligibility_Reason"
"TPL_001","TPL_001_STATE_001","TPL_001_RUN_001","Tonic","generic_stress",0,11.8933117726839,11.8933117726839,15,14,"shifted_gamma","generic_stress",0.838208558922634,17.3829596880823,0.02,0.849522269477419,0.189176629587034,0.217835991177462,0.0503352156711561,FALSE,"none","eligible","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.710593942501275,"eligible","pre_frozen_timestamp_evidence_contract_met"
"TPL_001","TPL_001_STATE_002","TPL_001_RUN_007","Tonic","stn_like_empirical",19.0748320227762,25.9081149121717,6.83328288939545,17,16,"shifted_gamma","stn_like_empirical",0.425872288411483,73.9279026072472,0.02,0.427080180587216,0.0954584296329728,0.12469889569981,0.0159962800855511,FALSE,"none","eligible","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.94615937215323,"eligible","pre_frozen_timestamp_evidence_contract_met"
"TPL_001","TPL_001_STATE_003","TPL_001_RUN_010","Broad_HFS","none",32.8102865536165,37.021832241739,4.21154568812246,24,23,"shifted_gamma","irregular",0.199131448133849,1.39302199515514,0.02,0.183110682092281,0.724425125918456,0.955871014383057,0.824376992739366,FALSE,"none","not_applicable","none","no_evidence_at_one_or_more_boundaries","no_evidence","clear",0.533322834405025,1.7881580626235,"none","none",,"not_applicable","not_applicable"
"TPL_001","TPL_001_STATE_004","TPL_001_RUN_012","Broad_HFS","none",39.5385751659494,45.6157773277303,6.07720216178088,35,34,"shifted_gamma","regular",0.21103762134444,7.44428947241977,0.02,0.178741240052379,0.490272008697929,0.313256184345717,0.14421010578455,TRUE,"weak","not_applicable","TPL_001_REGIME_01","clear_or_hard_cut","clear","hard_cut_canonical_pause",1.902509982679,0.975247761102163,"none","canonical_pause",,"not_applicable","not_applicable"
"TPL_001","TPL_001_STATE_005","TPL_001_RUN_014","Broad_HFS","none",49.0092463815165,55.4215189590178,6.4122725775013,29,28,"shifted_gamma","intermediate",0.258682600390166,3.89285871800967,0.02,0.229009734910761,0.549340970749773,0.485265930219755,0.266641183538235,TRUE,"moderate","not_applicable","TPL_001_REGIME_01","ambiguous_or_edge","hard_cut_canonical_pause","recording_edge_unobservable",1.39236520247156,,"canonical_pause","none",,"not_applicable","not_applicable"
"TPL_002","TPL_002_STATE_001","TPL_002_RUN_001","Broad_HFS","none",0,5.29445742582929,5.29445742582929,29,28,"shifted_gamma","regular",0.186064923629165,11.9944697865285,0.02,0.189087765208189,0.223496007310492,0.3447713198605,0.131005783889844,FALSE,"none","not_applicable","none","no_evidence_at_one_or_more_boundaries","recording_edge_unobservable","no_evidence",,0.545986795907911,"none","none",,"not_applicable","not_applicable"
"TPL_002","TPL_002_STATE_002","TPL_002_RUN_004","Broad_HFS","none",6.5210678712089,14.0706765640248,7.54960869281593,34,33,"shifted_gamma","irregular",0.209748844350688,1.53397443986032,0.02,0.228776020994422,0.722796108755169,0.602568554066839,0.402611027920056,TRUE,"strong","not_applicable","none","no_evidence_at_one_or_more_boundaries","no_evidence","no_evidence",0.245820372035192,1.11973934801589,"none","none",,"not_applicable","not_applicable"
"TPL_002","TPL_002_STATE_003","TPL_002_RUN_006","Broad_HFS","none",14.7896974613872,20.9379864768168,6.14828901542962,31,30,"shifted_gamma","intermediate",0.240889180484228,4.77644504932687,0.02,0.204942967180987,0.461523648172983,0.487073841754383,0.24187744675948,TRUE,"weak","not_applicable","none","no_evidence_at_one_or_more_boundaries","ambiguous","no_evidence",1.23487732355284,1.06492844700904,"none","none",,"not_applicable","not_applicable"
"TPL_002","TPL_002_STATE_004","TPL_002_RUN_007","Tonic","stn_like_empirical",20.9379864768168,25.5492993628034,4.61131288598659,12,11,"shifted_gamma","stn_like_empirical",0.437289732834324,63.2727455860004,0.02,0.419210262362418,0.0762765171536837,0.0654090991048621,0.00594742970873216,FALSE,"none","eligible","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.696978098263856,"eligible","pre_frozen_timestamp_evidence_contract_met"
"TPL_002","TPL_002_STATE_005","TPL_002_RUN_015","Tonic","generic_stress",36.8823311774658,52.1441900267807,15.2618588493149,18,17,"shifted_gamma","generic_stress",0.962867005751468,29.0323241064325,0.02,0.897756402900876,0.194628482509664,0.249501574782949,0.0669345141293446,FALSE,"none","eligible","none","not_applicable","not_applicable","not_applicable",,,"none","none",0.872906875828642,"eligible","pre_frozen_timestamp_evidence_contract_met"
