"Threshold_Set_ID","Threshold_Purpose","Phenotype_Null_Context","Phenotype_Null_Flank_Pattern","Phenotype_Null_Window_N_ISIs","Threshold_Name","Quantile","Evidence_Score","Null_Model","Calibration_Split","N_Null_Surrogates","Detector_Output_Used"
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N03","injected_support","burst_in_hfs","both_sides",3,"ambiguous_lower",0.9,0.965105642057761,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N03","injected_support","burst_in_hfs","both_sides",3,"clear_lower",0.975,2.04347351840098,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N04","injected_support","burst_in_hfs","both_sides",4,"ambiguous_lower",0.9,0.941818818837894,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N04","injected_support","burst_in_hfs","both_sides",4,"clear_lower",0.975,1.93601396674358,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N05","injected_support","burst_in_hfs","both_sides",5,"ambiguous_lower",0.9,0.978720832476721,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N05","injected_support","burst_in_hfs","both_sides",5,"clear_lower",0.975,1.75135432191909,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N06","injected_support","burst_in_hfs","both_sides",6,"ambiguous_lower",0.9,0.91864940597478,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N06","injected_support","burst_in_hfs","both_sides",6,"clear_lower",0.975,1.8662222947528,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N07","injected_support","burst_in_hfs","both_sides",7,"ambiguous_lower",0.9,1.05399412410319,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N07","injected_support","burst_in_hfs","both_sides",7,"clear_lower",0.975,2.13422329261022,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N08","injected_support","burst_in_hfs","both_sides",8,"ambiguous_lower",0.9,1.03213742758465,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_BURST_IN_HFS_BOTH_SIDES_N08","injected_support","burst_in_hfs","both_sides",8,"clear_lower",0.975,1.86573278892214,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N03","injected_support","standalone_burst","both_sides",3,"ambiguous_lower",0.9,1.09979703239791,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N03","injected_support","standalone_burst","both_sides",3,"clear_lower",0.975,1.68519528725351,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N04","injected_support","standalone_burst","both_sides",4,"ambiguous_lower",0.9,1.05644723629933,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N04","injected_support","standalone_burst","both_sides",4,"clear_lower",0.975,1.63698614365652,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N05","injected_support","standalone_burst","both_sides",5,"ambiguous_lower",0.9,1.16269315210628,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N05","injected_support","standalone_burst","both_sides",5,"clear_lower",0.975,1.76471950086281,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N06","injected_support","standalone_burst","both_sides",6,"ambiguous_lower",0.9,1.13614425708722,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N06","injected_support","standalone_burst","both_sides",6,"clear_lower",0.975,1.74309265797923,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N07","injected_support","standalone_burst","both_sides",7,"ambiguous_lower",0.9,1.21360343286825,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N07","injected_support","standalone_burst","both_sides",7,"clear_lower",0.975,1.92263622447059,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
"INJECTED_STANDALONE_BURST_BOTH_SIDES_N08","injected_support","standalone_burst","both_sides",8,"ambiguous_lower",0.9,1.13743332509662,"context_flank_pattern_and_window_matched_shifted_gamma_fixed_support","development_only",1000,FALSE
